,연 번,소매인구분,민원구분,업소명,업소지번주소,소재지,업소주소우편번호,업소전화번호,지정일자,법인구분,사업자번호,법인번호
10,11,구분없음,제7조의3제2항에따른경우,세븐일레븐 고령IC점,경상북도 고령군 쌍림면 고곡리 268번지,경상북도 고령군 쌍림면 대가야로 902,40159.0,,2018-07-12,개인,811-42-00415, 
11,12,구분없음,제7조의3제2항에따른경우,오복점빵,경상북도 고령군 쌍림면 안림리 535번지,경상북도 고령군 쌍림면 쌍쌍로 917,40160.0,,2018-06-20,개인,510-50-00308, 
12,13,구분없음,제7조의3제2항에따른경우,지에스25 고령다산점,경상북도 고령군 다산면 상곡리 53번지 다산주공2단지아파트,경상북도 고령군 다산면 상곡길 85 (다산주공2단지아파트),40107.0,,2018-06-08,개인,550-25-00570, 
13,14,구분없음,제7조의3제3항에따른경우,제이스마트,경상북도 고령군 대가야읍 쾌빈리 473번지 1호,경상북도 고령군 대가야읍 왕릉로 109,40137.0,,2018-05-14,개인,528-40-00523, 
14,15,구분없음,제7조의3제2항에따른경우,남촌가게,경상북도 고령군 다산면 벌지리 24번지 2호,경상북도 고령군 다산면 벌지로 375,40112.0,,2018-03-28,개인,870-16-00787, 
15,16,구분없음,제7조의3제2항에따른경우,대가야농약할인마트,경상북도 고령군 대가야읍 쾌빈리 358번지 19호,경상북도 고령군 대가야읍 쾌빈3길 2,40135.0,054-954-3177,2018-03-27,개인,454-65-00190, 
16,17,구분없음,제7조의3제2항에따른경우,나정마트,경상북도 고령군 다산면 나정리 815번지,경상북도 고령군 다산면 나선로 421,40112.0,,2018-03-23,개인,453-12-00911, 
17,18,구분없음,제7조의3제2항에따른경우,송곡셀프주유소,경상북도 고령군 다산면 송곡리 263번지 1호,경상북도 고령군 다산면 성암로 700,40113.0,,2018-03-06,개인,233-13-16038, 
18,19,구분없음,제7조의3제2항에따른경우,에스마트,경상북도 고령군 쌍림면 귀원리 204번지 1호,경상북도 고령군 쌍림면 대가야로 623,40163.0,,2018-02-22,개인,788-19-00591, 
19,20,구분없음,제7조의3제2항에따른경우,웰빙슈퍼,경상북도 고령군 대가야읍 헌문리 203번지 7호,경상북도 고령군 대가야읍 중앙로 35,40135.0,,2018-02-08,개인,530-30-42696, 
20,21, ,제7조의3제2항에따른경우,GS25 동고령IC점,경상북도 고령군 성산면 득성리 119번지 1호,경상북도 고령군 성산면 성산로 1049,40116.0,,2018-02-01,개인,193-08-00915, 
21,22,구분없음,제7조의3제2항에따른경우,쌍림수퍼,경상북도 고령군 쌍림면 안림리 281번지,경상북도 고령군 쌍림면 쌍쌍로 907,40160.0,,2018-01-10,개인,503-07-98870, 
22,23,구분없음,제7조의3제2항에따른경우,다산유통, ,경상북도 고령군 다산면 상곡3길 28. 1층 101호 (2차금류강남타운),40108.0,,2017-10-18,개인,706-03-00827, 
23,24,구분없음,제7조의3제2항에따른경우,세븐이레븐고령대가야점, ,경상북도 고령군 대가야읍 대가야로 1091. 1층,40139.0,,2017-10-11,개인,205-68-00191, 
24,25,구분없음,제7조의3제2항에따른경우,CU 다산미소점, ,경상북도 고령군 다산면 다산로 701,40109.0,,2017-10-11,개인,629-12-00634, 
25,26,구분없음,제7조의3제2항에따른경우,대백마트 다산점, ,경상북도 고령군 다산면 상곡길 83,40107.0,054-954-2505,2017-08-21,개인,502-27-89435, 
26,27,자동판매기,제7조의3제2항에따른경우,티에스마트카페, ,경상북도 고령군 다산면 성암로 561. 나동 1층 101호,40113.0,054-956-0822,2017-07-06,개인,868-30-00422, 
27,28,구분없음,제7조의3제2항에따른경우,성산주유소마트, ,경상북도 고령군 성산면 성산로 970,40116.0,054-954-0252,2017-07-05,개인,247-14-00644, 
28,29,구분없음,제7조의3제2항에따른경우,아이씨점빵(IC점빵), ,경상북도 고령군 성산면 성산로 960,40118.0,054-956-1505,2017-06-27,개인,774-13-00474, 
29,30,구분없음,제7조의3제2항에따른경우,GS25고령성산로점, ,경상북도 고령군 성산면 성산로 840,40118.0,,2017-05-30,개인,250-04-00715, 
30,31,구분없음,제7조의3제2항에따른경우,지릿재휴게소식당, ,경상북도 고령군 쌍림면 대가야로 222,40165.0,054-954-0107,2017-05-11,개인,238-56-00242, 
31,32,구분없음,제7조의3제2항에따른경우,GS25 고령문화원점, ,경상북도 고령군 대가야읍 월기길 1,40138.0,,2017-05-01,개인,710-31-00339, 
32,33,구분없음,제7조의3제3항에따른경우,오케이포인트마트, ,경상북도 고령군 대가야읍 중앙로 36,40141.0,054-956-6641,2017-04-28,개인,596-09-00649, 
33,34,구분없음,제7조의3제2항에따른경우,아릿골상대가든, ,경상북도 고령군 다산면 성암로 578,40113.0,,2017-03-29,개인,522-06-00652, 
34,35, ,제7조의3제2항에따른경우,장기슈퍼, ,경상북도 고령군 대가야읍 장기공단1길 50,40142.0,054-954-3861,2017-03-20,개인,203-15-95793, 
35,36,자동판매기,제7조의3제2항에따른경우,세븐일레븐 고령다산공단점, ,경상북도 고령군 다산면 다산산단로 163,40113.0,,2017-02-15,개인,124-71-00102, 
36,37, ,제7조의3제3항에따른경우,대백마트 고령, ,경상북도 고령군 대가야읍 우륵로 16-1,40135.0,,2017-01-06,개인,135-33-00283, 
37,38, ,제7조의3제2항에따른경우,대원세탁, ,경상북도 고령군 대가야읍 왕릉로 84,40137.0,,2016-12-12,개인,532-37-00352, 
38,39,구분없음,제7조의3제2항에따른경우,세븐일레븐 고령쌍림점, ,경상북도 고령군 쌍림면 대가야로 637,40163.0,,2016-10-19,개인,746-28-00212, 
39,40, ,제7조의3제2항에따른경우,카페아이린, ,경상북도 고령군 대가야읍 중앙로 29 (고령시외버스정류장),40135.0,,2016-08-26,개인,741-21-00330, 
40,41,구분없음,제7조의3제2항에따른경우,홈마트, ,경상북도 고령군 다산면 상곡1길 15. 101호,40110.0,,2016-07-29,개인,897-05-00490, 
41,42, ,제7조의3제2항에따른경우,세븐일레븐 고령성산점, ,경상북도 고령군 성산면 성산로 812,40119.0,,2016-07-18,개인,402-41-03604, 
42,43,구분없음,제7조의3제2항에따른경우,태양식자재마트, ,경상북도 고령군 대가야읍 왕릉로 87,40137.0,,2016-06-14,개인,208-08-15821, 
43,44, ,제7조의3제2항에따른경우,그린슈퍼, ,경상북도 고령군 대가야읍 큰골1길 60,40139.0,,2016-06-09,개인,589-59-00082, 
44,45,구분없음,제7조의3제2항에따른경우,현대상회,경상북도 고령군 덕곡면 가륜리 227번지 2호,경상북도 고령군 덕곡면 덕운로 829,40126.0,054-956-1966,2016-03-17,개인,503-17-63948, 
45,46,구분없음,제7조의3제2항에따른경우,용우육절기상사, ,경상북도 고령군 다산면 성암로 548,40113.0,054-954-0897,2016-02-02,개인,503-15-47089, 
46,47,구분없음,제7조의3제2항에따른경우,공단빅마트, ,경상북도 고령군 대가야읍 회천로 302,40134.0,,2016-01-21,개인,370-10-00228, 
47,48,구분없음,제7조의3제2항에따른경우,동화세탁, ,경상북도 고령군 대가야읍 중앙로 3. 101동 1층 101호 (궁전맨션),40136.0,,2015-12-08,개인,651-32-00153, 
48,49,구분없음,제7조의3제2항에따른경우,중앙상회, ,경상북도 고령군 성산면 성산로 912,40118.0,054-954-4710,2015-08-19,개인,503-17-54454, 
49,50,구분없음,제7조의3제2항에따른경우,백산휴게소,경상북도 고령군 쌍림면 백산리 91번지 8호,경상북도 고령군 쌍림면 영서로 3199,,,2015-07-16,개인,803-01-00236, 
50,51,구분없음,제7조의3제2항에따른경우,세븐일레븐 고령스타점, ,경상북도 고령군 개진면 개경포로 1339,,,2015-06-11,개인,278-14-00065, 
51,52,구분없음,제7조의3제2항에따른경우,위드미(우륵점), ,경상북도 고령군 대가야읍 우륵로 62,,,2015-04-24,개인,593-07-00063, 
52,53,구분없음,제7조의3제2항에따른경우,성산OK마트, ,경상북도 고령군 성산면 성산로 1009,,054-955-5345,2015-04-01,개인,503-17-48914, 
53,54,구분없음,제7조의3제3항에따른경우,홈마트, ,경상북도 고령군 고령읍 대가야로 1353,,,2015-01-08,개인,514-14-57260, 
54,55, ,제7조의3제2항에따른경우,세븐일레븐 고령다산대로점, ,경상북도 고령군 다산면 다산로 714,,,2014-10-07,개인,503-25-37294, 
55,56, ,제7조의3제2항에따른경우,대흥철물, ,경상북도 고령군 고령읍 시장3길 22,,054-954-0451,2014-08-14,개인,503-33-16974, 
56,57, ,제7조의3제2항에따른경우,행복유통, ,경상북도 고령군 다산면 호촌길 16,,,2014-07-07,개인,502-25-78176, 
57,58, ,제7조의3제2항에따른경우,유리구판장, ,경상북도 고령군 운수면 운성로 127,,054-955-9670,2014-04-01,개인,503-24-72877, 
58,59, ,제7조의3제3항에따른경우,드림마트, ,경상북도 고령군 다산면 상곡2길 7,,054-956-6565,2013-10-04,개인,504-15-18215, 
59,60, ,제7조의3제2항에따른경우,수정슈퍼,경상북도 고령군 고령읍 연조리 183번지 3호,경상북도 고령군 고령읍 주산순환길 158,,054-955-1195,2013-08-20,개인,503-24-35547, 
60,61, ,제7조의3제2항에따른경우,오금슈퍼, ,경상북도 고령군 고령읍 연조2길 10-1,,054-956-1907,2013-07-01,개인,503-24-28274, 
61,62, ,제7조의3제2항에따른경우,베스트 통신, ,경상북도 고령군 고령읍 쾌빈3길 18,,,2013-05-15,개인,503-24-22343, 
62,63, ,제7조의3제2항에따른경우,씨유 다산상곡점, ,경상북도 고령군 다산면 상곡3길 17,,,2013-02-07,개인,503-23-84319, 
63,64, ,제7조의3제2항에따른경우,국빈슈퍼식당, ,경상북도 고령군 개진면 개경포로 1433,,054-954-2138,2012-11-13,개인,502-20-79224, 
64,65, ,제7조의3제3항에따른경우,하나로마트, ,경상북도 고령군 우곡면 도진3길 5,,054-956-4436,2012-10-29,개인,503-16-16884, 
65,66, ,제7조의3제2항에따른경우,티커피, ,경상북도 고령군 고령읍 시장길 2,,070-7869-7272,2012-10-09,개인,503-23-62222, 
66,67, ,제7조의3제2항에따른경우,해돋이슈퍼,경상북도 고령군 성산면 기족리 484번지 1호,경상북도 고령군 성산면 성산로 771,,054-956-5332,2012-04-12,개인,504-13-56646, 
67,68, ,제7조의3제3항에따른경우,하나로쇼핑,경상북도 고령군 고령읍 쾌빈리 403번지 9호,경상북도 고령군 고령읍 우륵로 22,,054-955-7193,2012-01-10,개인,510-02-46531, 
68,69, ,제7조의3제2항에따른경우,우곡옛촌,경상북도 고령군 우곡면 봉산리 1167번지 1호,경상북도 고령군 우곡면 봉산1길 13,,054-955-8391,2011-12-20,개인,503-20-14957, 
69,70, ,제7조의3제2항에따른경우,(주)코리아세븐 경북고령점,경상북도 고령군 고령읍 헌문리 50번지 5호 외 2필지,경상북도 고령군 고령읍 중앙로 25,,054-954-5341,2011-10-26,법인,503-85-28090,110111-0899976
70,71, ,제7조의3제2항에따른경우,세븐일레븐고령장기로또점,경상북도 고령군 고령읍 장기리 277번지 5호,경상북도 고령군 고령읍 일량로 51,,,2011-06-01,개인,503-09-40708, 
71,72, ,제7조의3제2항에따른경우,팰리스 마트,경상북도 고령군 고령읍 쾌빈리 6번지 1호,경상북도 고령군 고령읍 대가야로 1533,,054-955-2990,2011-04-08,개인,503-22-45944, 
72,73, ,제7조의3제2항에따른경우,빅마트,경상북도 고령군 다산면 상곡리 162번지 7호,경상북도 고령군 다산면 상곡길 28. 104호 (휴먼시아 3단지 상가),,054-956-8522,2011-03-28,개인,503-21-40637, 
73,74, ,제7조의3제2항에따른경우,유니벨리컨트리클럽,경상북도 고령군 고령읍 내곡리 1078번지 1호,경상북도 고령군 고령읍 일량로 588,,,2011-02-23,개인,503-21-88908, 
74,75, ,제7조의3제2항에따른경우,준통신,경상북도 고령군 고령읍 쾌빈리 554번지 1호,경상북도 고령군 고령읍 왕릉로 97,,054-956-6016,2011-01-25,개인,503-21-69240, 
75,76, ,제7조의3제2항에따른경우,세광식당,경상북도 고령군 쌍림면 안림리 500번지 2호 17통,경상북도 고령군 쌍림면 안림3길 3,,,2010-12-29,개인,503-06-77204, 
76,77, ,제7조의3제2항에따른경우,고령축산,경상북도 고령군 다산면 송곡리 736번지 14통,경상북도 고령군 다산면 성암로 561,,,2010-10-15,개인,503-90-96291, 
77,78, ,제7조의3제2항에따른경우,씨유 고령점,경상북도 고령군 고령읍 쾌빈리 447번지 1호,경상북도 고령군 고령읍 연조길 2,,054-954-0639,2010-07-23,개인,502-11-67954, 
78,79, ,제7조의3제2항에따른경우,평화마트,경상북도 고령군 고령읍 쾌빈리 553번지 4호,경상북도 고령군 고령읍 시장3길 28,,054-955-3999,2010-07-21,개인,503-17-48476, 
79,80, ,제7조의3제2항에따른경우,대경담배,경상북도 고령군 개진면 부리 378번지 5호,경상북도 고령군 개진면 개경포로 1329,,054-954-0062,2010-05-17,개인,503-21-43575, 
80,81, ,제7조의3제2항에따른경우,백산식육식당,경상북도 고령군 개진면 옥산리 495번지 2호,경상북도 고령군 개진면 개경포로 958,,054-954-8045,2010-04-27,개인,503-03-27964, 
81,82, ,제7조의3제2항에따른경우,가야산맥,경상북도 고령군 덕곡면 옥계리 218번지 8통,경상북도 고령군 덕곡면 야로덕곡로 533-3,,054-955-3464,2010-02-26,개인,503-20-71792, 
82,83, ,제7조의3제2항에따른경우,공단상회,경상북도 고령군 쌍림면 고곡리 296번지 1호,경상북도 고령군 쌍림면 대가야로 929,,,2010-02-18,개인,503-21-25179, 
83,84, ,제7조의3제2항에따른경우,낙동슈퍼,경상북도 고령군 성산면 삼대리 88번지 2호 3통,경상북도 고령군 성산면 성산로 1105,,054-954-3377,2009-11-03,개인,503-16-91980, 
84,85, ,제7조의3제2항에따른경우,영신철물,경상북도 고령군 고령읍 지산리 221번지 3호,경상북도 고령군 고령읍 시장1길 23,,054-954-2688,2009-11-02,개인,503-03-78221, 
85,86,일반소매인, ,.,경상북도 고령군 고령읍 고아리 15번지 6호,경상북도 고령군 고령읍 고헌3길 12,,054-954-2847,2009-07-27,개인,503-20-73223, 
86,87,일반소매인, ,중앙상회,경상북도 고령군 고령읍 고아리 45번지 4통,경상북도 고령군 고령읍 시장길 23,,054-954-3192,2009-07-14,개인,503-20-72224, 
87,88,일반소매인, ,우곡그린수박영농조합법인,경상북도 고령군 우곡면 봉산리 76번지,경상북도 고령군 우곡면 우곡강변길 176,,054-955-8940,2008-09-26,법인,503-81-70528,175071-0002221
88,89,일반소매인, ,-,경상북도 고령군 다산면 평리리 271번지 2호,경상북도 고령군 다산면 평리1길 11,,054-955-7073,2008-07-28,개인, , 
89,90,일반소매인, ,풍가네 슈퍼,경상북도 고령군 다산면 호촌리 641번지 8호 3통,경상북도 고령군 다산면 사문나루1길 20,,054-955-9548,2008-07-03,개인,503-19-88579, 
90,91,일반소매인, ,기족구판장,경상북도 고령군 성산면 기족리 95번지, ,,054-954-4333,2008-02-15,개인,503-21-66281, 
91,92,구내소매인, ,시장할인마트,경상북도 고령군 성산면 득성리 210번지 4호,경상북도 고령군 성산면 성산로 1022,,054-956-4242,2007-10-08,개인, , 
92,93,자동판매기, , ,경상북도 고령군 다산면 송곡리 787호   ,경상북도 고령군 다산면 성암로 566,,,2007-05-22, , , 
93,94,일반소매인, ,우리상회,경상북도 고령군 운수면 화암리 283호   ,경상북도 고령군 운수면 꽃질1길 40-1,,054-955-5260,2007-03-08, , , 
94,95,일반소매인, ,고령축산농협축산물도매센타,경상북도 고령군 다산면 상곡리 162-7번지 주공상가 103호,경상북도 고령군 다산면 상곡길 28. 103호 (주공상가),,,2007-01-23,개인, , 
95,96,일반소매인, ,가야주유소,경상북도 고령군 쌍림면 신곡리 369번지 1   호   ,경상북도 고령군 쌍림면 쌍쌍로 810,,054-955-3033,2007-01-12, , , 
96,97,일반소매인, ,옥산담배소매점,경상북도 고령군 개진면 옥산리 517번지 9   호   ,경상북도 고령군 개진면 개경포로 963-1,,054-954-1225,2006-10-04, , , 
97,98,일반소매인, ,공단매점,경상북도 고령군 쌍림면 고곡리 199번지 32  호   ,경상북도 고령군 쌍림면 쌍림공단길 38,,054-955-7787,2006-04-26, , , 
98,99,일반소매인, ,신재운,경상북도 고령군 고령읍 지산리 4번지 7   호 고령유통  ,경상북도 고령군 고령읍 주산길 2  (고령유통),,054-954-4440,2006-01-19, , , 
99,100,일반소매인, ,그린마트,경상북도 고령군 운수면 봉평리 1124-3번지,경상북도 고령군 운수면 운용로 69,,054-955-2101,2005-12-06,개인, , 
100,101,일반소매인, ,소비자할인마트,경상북도 고령군 다산면 평리리 274번지 4호,경상북도 고령군 다산면 평리1길 4-1,,054-955-6013,2005-11-10,개인, , 
101,102,일반소매인, ,씨유 가야왕릉점,경상북도 고령군 고령읍 529번지 2호,경상북도 고령군 고령읍 대가야로 1122,, ,2005-10-31,개인,503-17-62653, 
102,103,구내소매인, ,엘지할인클럽2호점,경상북도 고령군 고령읍 지산리 906번지 47  호   ,경상북도 고령군 고령읍 덕경길 9-21,,054-955-4080,2005-03-22, , , 
103,104,일반소매인, ,공원슈퍼,경상북도 고령군 고령읍 장기리 66번지 2   호   ,경상북도 고령군 고령읍 솥질길 2,,,2005-03-07, , , 
104,105,일반소매인, , ,경상북도 고령군 운수면 봉평리 1124번지 3   호   ,경상북도 고령군 운수면 운용로 69,,054-955-5101,2004-10-26, , , 
105,106,일반소매인, , ,경상북도 고령군 쌍림면 신촌리 537번지 1   호   ,경상북도 고령군 쌍림면 신촌길 68,,054-955-2675,2004-01-15, , , 
106,107,일반소매인, ,공단매점,경상북도 고령군 다산면 송곡리 1443호   ,경상북도 고령군 다산면 다산산단로 9,,054-956-2732,2004-01-15, , , 
107,108,일반소매인, ,대구슈퍼,경상북도 고령군 고령읍 지산리 959번지 41  호   ,경상북도 고령군 고령읍 큰골길 49,,054-954-9107,2003-07-28, , , 
108,109,일반소매인, ,사촌상회,경상북도 고령군 우곡면 사촌리 204-1번지,경상북도 고령군 우곡면 우곡로 1218,,054-956-5030,2003-05-01,개인, , 
109,110,일반소매인, ,중앙슈퍼,경상북도 고령군 운수면 봉평리 795-2번지,경상북도 고령군 운수면 운용로 108,,054-955-5247,2003-02-27,개인, , 
110,111,일반소매인, ,(무명),경상북도 고령군 고령읍 쾌빈리 433-1번지,경상북도 고령군 고령읍 중앙로 3-2,,054-955-9056,2002-10-28,개인, , 
111,112,일반소매인, ,없음,경상북도 고령군 다산면 송곡리 1450호   ,경상북도 고령군 다산면 다산산단1길 49-7,, ,2001-07-04, , , 
112,113,일반소매인, ,한아름,경상북도 고령군 고령읍 쾌빈리 470-3번지,경상북도 고령군 고령읍 왕릉로 107,, ,2001-06-28,개인, , 
113,114,일반소매인, ,그린슈퍼,경상북도 고령군 고령읍 헌문리 227-2번지,경상북도 고령군 고령읍 우륵로 4,, ,2001-06-07,개인, , 
114,115,일반소매인, ,없음,경상북도 고령군 다산면 평리리 67호   ,경상북도 고령군 다산면 평리5길 14,, ,2001-06-19, , , 
115,116,일반소매인, , ,경상북도 고령군 다산면 벌지리 342호   ,경상북도 고령군 다산면 동암1길 6-9,,054-955-6817,2002-01-16, , , 
116,117,일반소매인, ,가야상회,경상북도 고령군 고령읍 헌문리 19-5번지,경상북도 고령군 고령읍 중앙로 29-1,,054-955-2338,2002-01-08,개인, , 
117,118,일반소매인, ,없음,경상북도 고령군 성산면 사부리 85호   ,경상북도 고령군 성산면 사부길 63-4,,,2001-07-30, , , 
118,119,일반소매인, ,덕곡상회,경상북도 고령군 덕곡면 예리 233-1호   , ,, ,2001-05-21, , , 
119,120,일반소매인, ,양전1리마을회관,경상북도 고령군 개진면 양전리 550-2번지,경상북도 고령군 개진면 양전길 157 (양전1리마을회관),, ,2001-04-17,개인, , 
120,121,일반소매인, ,지릿재주유소,경상북도 고령군 쌍림면 합가리 630-3번지,경상북도 고령군 쌍림면 대가야로 228,, ,2001-02-09,개인, , 
121,122,일반소매인, ,쌍림농업협동조합하나로마트,경상북도 고령군  귀원리 246-1번지,경상북도 고령군 쌍림면 신곡교길 18 (쌍림농협),, ,2001-01-26,법인, , 
122,123,일반소매인, ,고령상회,경상북도 고령군 성산면 어곡리 245-4번지,경상북도 고령군 성산면 성산로 880,, ,2001-03-27,개인, , 
123,124,일반소매인, ,덕곡슈퍼,경상북도 고령군 덕곡면 예리 232-9번지,경상북도 고령군 덕곡면 덕운로 592,, ,2001-05-14,개인, , 
124,125,일반소매인, , ,경상북도 고령군 운수면 봉평리 849번지 3   호   ,경상북도 고령군 운수면 운용로 76,,054-955-5180,2001-09-13, , , 
125,126,일반소매인, ,고령영농조합대가야왕릉지점,경상북도 고령군 고령읍 지산리 4655-1호   , ,,,2001-09-04, , , 
126,127,일반소매인, ,해광낚시점,경상북도 고령군 다산면 평리리 253-6번지,경상북도 고령군 다산면 다산로 708,, ,2001-08-03,개인, , 
127,128,일반소매인, ,풍년식당,경상북도 고령군  직리 386-1번지,경상북도 고령군 개진면 개경포로 280,, ,2000-10-27,개인, , 
128,129,일반소매인, ,중화수퍼,경상북도 고령군 고령읍 중화리 117호   , ,, ,2000-09-08, , , 
129,130,일반소매인, ,삼거리슈퍼,경상북도 고령군 우곡면 연리 195-1번지,경상북도 고령군 우곡면 우곡로 341,, ,2000-09-04,개인, , 
130,131,일반소매인, ,로얄목욕탕,경상북도 고령군 고령읍 고아리 129-5번지,경상북도 고령군 고령읍 대가야로 1303,, ,2000-07-21,개인, , 
131,132,구내소매인, ,다산농협하나로마트,경상북도 고령군 다산면 평리리 237-4번지,경상북도 고령군 다산면 다산로 711 (다산농협),, ,2000-06-26,법인, , 
132,133,일반소매인, ,-,경상북도 고령군 개진면 양전리 744호   ,경상북도 고령군 개진면 양전길 99,, ,2000-06-15, , , 
133,134,일반소매인, ,없음,경상북도 고령군 운수면 대평리 1035호   ,경상북도 고령군 운수면 대평로 220-2,, ,2000-04-13, , , 
134,135,일반소매인, ,진영상회,경상북도 고령군 쌍림면 귀원리 327-3번지,경상북도 고령군 쌍림면 대가야로 573,, ,2000-11-07,개인, , 
135,136,일반소매인, ,고령유통,경상북도 고령군 고령읍 지산리 4-2. 4-7번지,경상북도 고령군 고령읍 주산길 2,,054-954-4440,1999-12-17,개인, , 
136,137,일반소매인, , ,경상북도 고령군 우곡면 도진리 59호   ,경상북도 고령군 우곡면 우곡로 936,,054-954-1418,1999-12-06, , , 
137,138,구내소매인, ,신우할인마트,경상북도 고령군 쌍림면 귀원리 324-1번지,경상북도 고령군 쌍림면 대가야로 571,,054-955-0040,1999-11-27,개인, , 
138,139,일반소매인, ,(무명),경상북도 고령군 쌍림면 하거리 189-2번지,경상북도 고령군 쌍림면 하거1길 14,,054-955-9379,1999-10-18,개인, , 
139,140,일반소매인, , ,경상북도 고령군 성산면 오곡리 531호   ,경상북도 고령군 성산면 오곡길 24,,,1999-09-08, , , 
140,141,일반소매인, ,(무명),경상북도 고령군 성산면 득성리 119-1번지,경상북도 고령군 성산면 성산로 1049,,054-954-6141,1999-05-25,개인, , 
141,142,일반소매인, ,(무명),경상북도 고령군 성산면 무계리 519-2번지,경상북도 고령군 성산면 성암로 184,,054-954-3369,1999-05-20,개인, , 
142,143,일반소매인, ,(무명),경상북도 고령군 다산면 송곡리 1450호,경상북도 고령군 다산면 다산산단1길 49-7,,,1999-03-10,개인, , 
143,144,일반소매인, ,(무명),경상북도 고령군 쌍림면 신촌리 537-1번지,경상북도 고령군 쌍림면 신촌길 68,,,1999-01-18,개인, , 
144,145,일반소매인, ,(무명),경상북도 고령군 고령읍 중화리 552-32번지,경상북도 고령군 고령읍 낫질로 303,, ,1998-12-15,개인, , 
145,146,일반소매인, ,(무명),경상북도 고령군 성산면 삼대리 90-1번지,경상북도 고령군 성산면 성산로 1109,,054-954-6264,1998-07-27,개인, , 
146,147,일반소매인, ,(무명),경상북도 고령군 다산면 노곡리 907-1번지,경상북도 고령군 다산면 노곡1길 49,,,1999-10-14,개인, , 
147,148,일반소매인, ,홍우동분식,경상북도 고령군 고령읍 쾌빈리 554-11번지,경상북도 고령군 고령읍 왕릉로 93,,054-954-0041,1999-01-08,개인, , 
148,149,일반소매인, ,송산주유소,경상북도 고령군 다산면 송곡리 68-2번지,경상북도 고령군 다산면 성암로 817,,054-956-0505,1998-06-18,개인, , 
149,150,일반소매인, ,연동슈퍼,경상북도 고령군 우곡면 연리 438-1번지,경상북도 고령군 우곡면 하미길 28,,,1998-06-12,개인, , 
150,151,일반소매인, ,실용선언,경상북도 고령군 다산면 상곡리 151-15번지,경상북도 고령군 다산면 상곡1길 37,,054-955-4333,1998-06-10,개인, , 
151,152,일반소매인, ,대구슈퍼,경상북도 고령군 고령읍 지산리 959-41번지,경상북도 고령군 고령읍 큰골길 49,,054-954-9107,1997-12-19,개인, , 
152,153,일반소매인, , ,경상북도 고령군 우곡면 예곡리 184호   ,경상북도 고령군 우곡면 우곡강변길 516-16,,,1997-09-05, , , 
153,154,일반소매인, ,진희슈퍼,경상북도 고령군 쌍림면 백산리 273번지,경상북도 고령군 쌍림면 영서로 3153,,054-955-0677,1998-07-24,개인, , 
154,155,일반소매인, ,우리상회,경상북도 고령군 고령읍 헌문리 234호   ,경상북도 고령군 고령읍 중앙로 13,,054-954-2945,1997-07-14, , , 
155,156,일반소매인, ,알뜰만물슈퍼,경상북도 고령군 고령읍 연조리 247호   ,경상북도 고령군 고령읍 연조4길 5,,054-955-2442,1997-06-26, , , 
156,157,일반소매인, ,(무명),경상북도 고령군 성산면 기산리 617번지,경상북도 고령군 성산면 기산길 72,,,1997-03-18,개인, , 
157,158,일반소매인, ,(무명),경상북도 고령군 고령읍 지산리 905-18번지,경상북도 고령군 고령읍 덕경길 15,, ,1997-01-16,개인, , 
