,연번,업소명,소재지,소재지전화번호,주된음식,최신재지정일자
23,24,고래등횟집,경상북도 경주시 감포읍 대본해안길 34, 054-771-8796,생선회,2018-11-27
24,25,푸른가든,경상북도 경주시 산내면 문복로 222, 054-751-4472,숯불구이,2018-11-27
25,26,고미정,경상북도 경주시 양정로 285 (동천동), 054-775-0079,오리불고기,2018-11-27
26,27,대광복집,경상북도 경주시 외동읍 산업로 2516-6,054-776-3090,"밀복(매운탕,수육,찜)",2018-11-27
27,28,청하숯불식당,경상북도 경주시 산내면 의곡중앙길 35-11, 054-751-7767,숯불구이,2018-11-27
28,29,국시집,경상북도 경주시 북문로 31 (성건동), 054-773-3050,국수,2018-11-27
29,30,쑥부쟁이,경상북도 경주시 보불로 147-5 (하동), 054-748-3903,쑥부쟁이정식,2018-11-27
30,31,석하식당,경상북도 경주시 흥무로 51-14 (충효동), 054-774-2050,한정식,2018-11-27
31,32,강남숯불식당,경상북도 경주시 태종로 801-11 (황오동),054-774-4000,숯불구이,2018-11-27
32,33,감포중매인 참가자미 횟집,경상북도 경주시 백률로 65-2 (동천동),054-741-2200,회,2018-11-27
33,34,산드레,경상북도 경주시 보불로 299-5 (하동), 054-746-5400,한정식,2018-11-27
34,35,종가집식당,경상북도 경주시 천북면 천강로 457, 054-774-1223,갈비살,2018-11-27
35,36,황금알,경상북도 경주시 내남면 포석로 508,054-745-7744,오리생고기,2018-11-27
36,37,이조한정식,경상북도 경주시 숲머리길 136 (보문동), 054-775-3260,한정식,2018-11-27
37,38,늘푸른참가자미횟집,경상북도 경주시 안강읍 구부랑3길 14-4, 054-761-0750,생선회,2018-11-27
38,39,누릉지삼계탕본마실,경상북도 경주시 알천남로 64 (성건동), 054-751-2456,삼계탕,2018-11-27
39,40,홍시한정식,경상북도 경주시 화랑로 19번길 5 (성건동),054-742-8668,한정식,2018-11-27
40,41,풍년참가자미회식당,경상북도 경주시 백률로 73 (동천동), 054-774-4040,생선회,2018-11-27
41,42,정수가성,경상북도 경주시 보불로 318 (하동),054-745-0066,한정식,2018-11-27
42,43,감포별미횟집,경상북도 경주시 백률로57번길 10 (동천동), 054-749-5566,생대구지리,2018-11-27
43,44,원조암소숯불구이,경상북도 경주시 산내면 의곡중앙길 35-3, 054-751-6993,숯불구이,2018-11-27
44,45,물방아삼계탕,경상북도 경주시 알천북로 339-1 (동천동), 054-749-9944,삼계탕,2018-11-27
45,46,한방생오리불고기,경상북도 경주시 양정로225번길 18 (동천동), 054-743-5292,오리불고기,2018-11-27
46,47,류가네곰탕(충효점),경상북도 경주시 충효녹지길 12-1 (충효동),054-741-7753,곰탕,2018-11-27
47,48,용장골순두부,경상북도 경주시 내남면 포석로 372-1, 054-745-3676,순두부,2018-11-27
48,49,양경승숯불갈비,경상북도 경주시 양정로328번길 13 (용강동), 054-744-9233,갈비살구이,2018-11-27
49,50,동주복집,경상북도 경주시 양정로252번길 9 (동천동),054-773-8972,복국,2018-11-27
50,51,황금덕장(경주불국사점),경상북도 경주시 영불로 17 (시래동),054-746-9890,코다리시래기찜,2018-11-27
51,52,낙지마실,경상북도 경주시 북군길 9 (북군동),054-749-0048,불낙전골,2018-11-27
52,53,고래등,경상북도 경주시 외동읍 영불로 113, 054-773-4667,보리굴비정식,2018-11-27
53,54,최가칡냉면,경상북도 경주시 화랑로49번길 5 (성건동),054-774-2274,냉면,2018-11-27
54,55,은행집숯불장어식당,경상북도 경주시 북군2길 7 (북군동),054-743-7939,민물장어,2018-11-27
55,56,어향원,경상북도 경주시 화랑로 76-1 (서부동),054-772-2821,중화요리,2018-11-27
56,57,압구정갈비식당,경상북도 경주시 백률로57번길 1 (동천동),054-775-3358,삼겹살,2018-11-27
57,58,경상도추어탕식당,경상북도 경주시 양정로 219 (동천동), 054-748-0300,추어탕,2018-11-27
58,59,외바우,경상북도 경주시 안강읍 구부랑3길 12, 054-763-7733,낙불삼철판복음,2018-11-27
59,60,금오정,경상북도 경주시 백률로58번길 25 (동천동), 054-777-2378,보리밥정식,2018-11-27
60,61,만선회센타,경상북도 경주시 양북면 덕실길 12-14,054-777-7090,생선회,2018-11-27
61,62,정회(서부점),경상북도 경주시 봉황로 105 (서부동), 054-775-2570,모듬회,2018-11-27
62,63,바다속의집대도,경상북도 경주시 감포읍 감포로2길 54-3, 054-777-5562,생선회,2018-11-27
63,64,돌고래 회 식당,경상북도 경주시 감포읍 동해안로 1888-10, 054-744-3507,물회,2018-11-27
64,65,암소원 식당,경상북도 경주시 외동읍 입실로2길 34-17, 054-744-5959,숯불구이,2018-11-27
65,66,오대양횟집,경상북도 경주시 초당길137번길 15 (동천동),054-741-5356,생선회,2018-11-27
66,67,초원암소숯불,경상북도 경주시 외동읍 모화북1길 129,054-777-2289,숯불구이,2018-11-27
67,68,토함민속식당,경상북도 경주시 숲머리길 159 (보문동), 054-748-6969,한정식,2018-11-27
68,69,점심밥상 저녁술상,경상북도 경주시 탈해로 41 (동천동), 054-741-1233,한정식,2018-11-27
69,70,엄마곰탕,경상북도 경주시 보문로 545-14 (천군동),054-774-5500,곰탕,2018-11-27
70,71,산천식당,경상북도 경주시 산내면 의곡중앙길 9, 054-751-5620,한식,2018-11-27
71,72,대관령동태찌게(동천점),경상북도 경주시 동천로93번길 2 (동천동),054-777-5659,동태찌개,2018-11-27
72,73,용강국밥(연안점),경상북도 경주시 외동읍 산업로 2428,054-743-9770,국밥 수육,2018-11-27
73,74,가삼골전복순두부,경상북도 경주시 현곡면 가삼골2길 21,054-774-8775,순두부,2018-11-27
74,75,귀하한정식,경상북도 경주시 양정로 319-1 (용강동),054-772-6455,한정식,2018-11-27
75,76,다미숲식당,경상북도 경주시 현곡면 소현효자길 13, 054-745-0622,한정식,2018-11-27
76,77,다불로 50(자연산별미회),경상북도 경주시 다불로 50 (용강동),054-777-3900,생선회,2018-11-27
77,78,정화,경상북도 경주시 용담로 104 (황성동),054-772-1155,한정식,2018-11-27
78,79,수리뫼,경상북도 경주시 내남면 포석로 110-32,054-748-2507,궁중한정식,2018-11-27
79,80,천년미가,경상북도 경주시 용강상리길 34 (용강동),054-744-7890,한정식,2018-11-27
80,81,샤브향,경상북도 경주시 원화로 432 (동천동),054-743-8877,월남쌈,2018-11-27
81,82,콩이랑주식회사,경상북도 경주시 보불로 97 (하동),054-774-4578,순두부,2018-11-27
82,83,고두반,경상북도 경주시 대기실3길 11 (도지동),054-748-7489,한정식,2018-11-27
83,84,대현민물장어,경상북도 경주시 강동면 공정길 62,054-762-0616,장어구이,2018-11-27
84,85,정이품쭈꾸미,경상북도 경주시 원화로 273 (성동동),054-771-9444,쭈꾸미철판볶음,2018-11-27
85,86,순우,경상북도 경주시 백률로57번길 11 (동천동),054-745-5959,쇠고기숯불구이,2018-11-27
86,87,초원삼계탕,경상북도 경주시 북문로 33 (성건동),054-771-3766,삼계탕,2018-11-27
87,88,아리랑식당,경상북도 경주시 숲머리길 197 (보문동),054-777-4343,닭샤브,2018-11-27
88,89,밀양돼지국밥,경상북도 경주시 용담로104번길 17 (황성동),054-746-1108,국밥,2018-11-27
89,90,둘둘오리(안강점),경상북도 경주시 안강읍 피일안길 19,054-762-2252,오리불고기,2018-11-27
90,91,식객,경상북도 경주시 보문로 402-12 (신평동),054-778-8344,한정식,2018-11-27
91,92,한정식명가,경상북도 경주시 교촌길 39-9 (교동),054-742-4284,한정식코스요리,2018-11-27
92,93,요남자경북경주점,경상북도 경주시 알천남로 232 (성동동),054-777-7456,스테이크,2018-11-27
93,94,서가앤쿡(경주중앙점),경상북도 경주시 동성로111번길 4 (노동동),054-741-3339,스테이크,2018-11-27
94,95,경주천년한우 보문명품관,"경상북도 경주시 보문로 545-9, 1~2층 (천군동)",054-741-8006,한우,2018-11-27
95,96,금촌설렁탕,경상북도 경주시 양남면 동해안로 652,054-777-7522,설렁탕,2018-11-27
96,97,요석궁식당,경상북도 경주시 교촌안길 19-4 (교동),054-772-3347,한정식,2018-11-27
97,98,하연지,경상북도 경주시 포석로 932-4 (탑동),054-777-5432,연요리,2018-11-27
98,99,해밀본가 진주냉면,경상북도 경주시 첨성로 105 (황남동),054-741-7020,"물냉면, 육전",2018-11-27
99,100,월지향,경상북도 경주시 양정로74번길 5 (황오동),054-741-8838,한정식,2018-11-27
100,101,꽃마름샐러드바경주황성점,경상북도 경주시 황성로16번길 13-8 (황성동),054-774-8899,샤브샤브,2018-11-27
101,102,기와골맷돌순두부,"경상북도 경주시 숲머리길 142, 나동 (보문동)",054-773-2692,순두부,2018-11-27
102,103,초이가,경상북도 경주시 강동면 천강로 846-43,054-761-2210,미꾸라지,2018-11-27
103,104,진수성찬 한정식,"경상북도 경주시 보문로 441, 가동 (신평동)",054-777-7938,한정식,2018-11-27
104,105,전주명가옥,"경상북도 경주시 양정로 234-1, 1층 (동천동)",054-748-9393,국밥,2018-11-27
105,106,전촌참가자미회,경상북도 경주시 북군3길 17-1 (북군동),054-743-1859,생선회,2018-11-27
106,107,영남식육식당,경상북도 경주시 건천읍 작원3길 5-9,054-751-3628,한우모둠,2018-11-27
