업종명,업소명,소재지,소재지 전화,데이터기준일자
일반미용업,컷트타운,경상북도 안동시 퇴계로 253 (안막동),054-858-7646,2020-09-07
일반미용업,희미용실,경상북도 안동시 치이골길 7 (신안동),054-858-2369,2020-09-07
일반미용업,비주헤어,"경상북도 안동시 퇴계로 235, 105호 (안막동, 플러스상가 )",054-852-5199,2020-09-07
일반미용업,머리결미용실,경상북도 안동시 퇴계로 133 (명륜동),054-859-2970,2020-09-07
일반미용업,새성희미용실,경상북도 안동시 퇴계로 123-1 (명륜동),054-858-2991,2020-09-07
일반미용업,공주미용실,경상북도 안동시 경동로 729-1 (법흥동),054-859-0906,2020-09-07
일반미용업,에덴미용실,경상북도 안동시 서동문로 96 (광석동),054-855-1410,2020-09-07
일반미용업,수채화미용실,경상북도 안동시 광석4길 23 (광석동),054-821-5161,2020-09-07
일반미용업,참사랑미용실,경상북도 안동시 대안로 97-1 (광석동),054-853-6690,2020-09-07
일반미용업,이정머리만들기,"경상북도 안동시 제비원로 176, 101동 106호 (금곡동)",054-855-1878,2020-09-07
일반미용업,민지미용실,경상북도 안동시 법상길 41-3 (법상동),054-853-4697,2020-09-07
일반미용업,화신미용실,경상북도 안동시 중앙로 29 (서부동),054-854-2254,2020-09-07
일반미용업,김경옥 헤어2.0,경상북도 안동시 중앙로 32 (서부동),054-853-5411,2020-09-07
일반미용업,유미미용실,"경상북도 안동시 중앙로 13-1, 1층 (서부동)",054-854-6224,2020-09-07
일반미용업,밀리오레미용실,"경상북도 안동시 퇴계로 94, 1층 (서부동)",054-855-2039,2020-09-07
일반미용업,휴덕미용실,경상북도 안동시 중앙로 6 (목성동),054-854-2766,2020-09-07
일반미용업,새금정미용실,경상북도 안동시 경동로 611 (안흥동),054-856-3350,2020-09-07
일반미용업,명인미용실,경상북도 안동시 대안로 96-1 (옥야동),054-857-1952,2020-09-07
일반미용업,마샬미용실,경상북도 안동시 중앙시장3길 30-27 (옥야동),,2020-09-07
일반미용업,푸른미용실,경상북도 안동시 대안로 84-1 (옥야동),054-857-3615,2020-09-07
일반미용업,소래미용실,경상북도 안동시 경동로 601-6 (옥야동),054-854-2184,2020-09-07
일반미용업,금정미용실,경상북도 안동시 맑은샘3길 16 (천리동),054-855-1550,2020-09-07
일반미용업,대도미용실,경상북도 안동시 경동로 630 (천리동),054-859-1348,2020-09-07
일반미용업,머리여행미용실,경상북도 안동시 경동로 474 (태화동),054-859-7847,2020-09-07
일반미용업,대광장미용실,경상북도 안동시 태화중앙로 82 (태화동),054-853-1344,2020-09-07
일반미용업,에스(S)미용실,경상북도 안동시 태화중앙로 51 (태화동),054-854-2968,2020-09-07
일반미용업,사계절미용타운,경상북도 안동시 태화5길 24 (태화동),054-853-8385,2020-09-07
일반미용업,서희미용실,경상북도 안동시 말구리3길 29 (태화동),054-856-1158,2020-09-07
일반미용업,뽀끌레미용실,"경상북도 안동시 옥서1길 16, 2층 (옥동)",054-841-3541,2020-09-07
일반미용업,지앤미 미용실,경상북도 안동시 단원로 128 (평화동),054-856-3952,2020-09-07
일반미용업,신성미용실,경상북도 안동시 단원로 118 (평화동),054-852-8245,2020-09-07
일반미용업,봄미용실,경상북도 안동시 단원로 112-1 (평화동),054-822-5666,2020-09-07
일반미용업,한마음미용실,경상북도 안동시 평화길 49 (평화동),054-855-4576,2020-09-07
일반미용업,채연헤어,"경상북도 안동시 평화7길 2, 1층 (평화동)",054-853-8536,2020-09-07
일반미용업,둥지미용실,경상북도 안동시 북후면 산북로 1596,054-858-9508,2020-09-07
일반미용업,각시머리방,경상북도 안동시 중들6길 6 (용상동),054-821-8617,2020-09-07
일반미용업,비너스헤어샵,경상북도 안동시 강남7길 7-5 (정하동),054-857-9396,2020-09-07
일반미용업,예림미용실,경상북도 안동시 경동로 689 (운흥동),054-859-1395,2020-09-07
일반미용업,이지미용실,경상북도 안동시 강남1길 96 (정하동),054-853-4003,2020-09-07
일반미용업,아티스트,경상북도 안동시 경동로 984 (용상동),054-821-7944,2020-09-07
일반미용업,새신라미용실,경상북도 안동시 퇴계로 118-1 (북문동),054-841-1453,2020-09-07
일반미용업,신대성미용실,"경상북도 안동시 대안로 69, 1층 4호 (당북동)",054-855-1262,2020-09-07
일반미용업,두레미용실,경상북도 안동시 서동문로 66 (당북동),054-855-5472,2020-09-07
일반미용업,동윤헤어샵,경상북도 안동시 서동문로 118 (대석동),054-854-0323,2020-09-07
일반미용업,유정미용실,경상북도 안동시 대안로 111 (대석동),054-857-5464,2020-09-07
일반미용업,송미용실,경상북도 안동시 대석4길 6 (대석동),054-857-5031,2020-09-07
일반미용업,이가연 미용실,경상북도 안동시 대안로 98-9 (옥야동),054-854-4398,2020-09-07
일반미용업,축복미용실,경상북도 안동시 중앙시장3길 10-12 (옥야동),054-841-1292,2020-09-07
일반미용업,미지미용실,경상북도 안동시 영호5길 6 (옥야동),054-855-9403,2020-09-07
일반미용업,로즈미용실,경상북도 안동시 태화중앙로 122-1 (태화동),054-854-5792,2020-09-07
일반미용업,끌림,"경상북도 안동시 배움길 90 (당북동, 1층)",054-855-5183,2020-09-07
일반미용업,현대미용실,경상북도 안동시 서동문로 12 (태화동),054-855-8716,2020-09-07
일반미용업,금희헤어라인,경상북도 안동시 서악길 14 (태화동),054-853-1911,2020-09-07
일반미용업,김숙헤어라인,경상북도 안동시 서경지2길 35 (태화동),054-858-2894,2020-09-07
일반미용업,김윤경헤어,경상북도 안동시 대안로 23-1 (태화동),054-852-4953,2020-09-07
일반미용업,구슬미용실,"경상북도 안동시 어가골윗길 14 (태화동, 우성@상가)",054-854-4255,2020-09-07
일반미용업,기향미용실,"경상북도 안동시 평화9길 47, 1층 (평화동)",054-852-9971,2020-09-07
일반미용업,유연희컷헤어,경상북도 안동시 대안로 35 (태화동),,2020-09-07
일반미용업,까꼬뽀꼬미용실,경상북도 안동시 대안로 31 (태화동),054-841-3650,2020-09-07
일반미용업,필미용실,경상북도 안동시 서부시장3길 12 (태화동),054-852-6715,2020-09-07
일반미용업,그린미용실,"경상북도 안동시 감나무길 6, 103호 (태화동, 길주시장 내)",054-843-7144,2020-09-07
일반미용업,짚시헤어샵,경상북도 안동시 불무골1길 53 (태화동),054-854-5809,2020-09-07
일반미용업,새현대미용실,"경상북도 안동시 불무골1길 70, 202호 (태화동)",054-854-3993,2020-09-07
일반미용업,은하수미용실,경상북도 안동시 포도3길 48 (태화동),054-859-4446,2020-09-07
일반미용업,지아헤어샾,경상북도 안동시 경동로 417 (태화동),054-854-5909,2020-09-07
일반미용업,반짝반짝머리결,경상북도 안동시 감나무5길 15 (평화동),054-856-5669,2020-09-07
일반미용업,성림미용실,경상북도 안동시 제비원로 242 (안기동),054-852-0997,2020-09-07
일반미용업,세련헤어클리닉,경상북도 안동시 제비원로 283 (안기동),054-857-5406,2020-09-07
일반미용업,손향숙헤어필,경상북도 안동시 제비원로 274 (안기동),054-852-5827,2020-09-07
일반미용업,댕기머리미용실,경상북도 안동시 제비원로 266 (안기동),054-855-7900,2020-09-07
일반미용업,바바헤어샵,경상북도 안동시 경북대로 443 (옥동),,2020-09-07
일반미용업,장춘미용실,경상북도 안동시 경동로 651 (남문동),,2020-09-07
일반미용업,21세기미용실,경상북도 안동시 영가로 24 (동부동),054-858-9321,2020-09-07
일반미용업,헤라미용실,경상북도 안동시 복주길 29 (옥동),054-852-2167,2020-09-07
일반미용업,헤어비쥬,"경상북도 안동시 경동로 277 (송현동, 청구하이츠1차상가 201동201호)",054-843-1133,2020-09-07
일반미용업,조이헤어,경상북도 안동시 남문로 17 (남문동),054-857-5570,2020-09-07
일반미용업,슈슈앙,"경상북도 안동시 번영4길 2-1, 신협 1층 (남문동)",054-854-1308,2020-09-07
일반미용업,아씨머리방,경상북도 안동시 제비원로 234 (안기동),054-857-2384,2020-09-07
일반미용업,권나영헤어필,경상북도 안동시 옥광1길 17 (옥동),054-856-2080,2020-09-07
일반미용업,꽁지머리,"경상북도 안동시 옥서1길 19 (옥동, 7주공상가 101호)",054-843-0030,2020-09-07
일반미용업,태양헤어샾,"경상북도 안동시 옥서1길 88, 휴먼시아8단지아파트 상가 203호 (옥동)",054-822-8085,2020-09-07
일반미용업,주주헤어,경상북도 안동시 옥서1길 16 (옥동),054-852-2755,2020-09-07
일반미용업,세진미용실,경상북도 안동시 복주길 66 (옥동),054-841-3346,2020-09-07
일반미용업,핑크미용실,경상북도 안동시 제비원로 282 (안기동),054-856-0187,2020-09-07
일반미용업,뉴헤어월드미용실,경상북도 안동시 한화길 42 (안기동),054-854-8586,2020-09-07
일반미용업,모나리자미용실,"경상북도 안동시 전거리5길 22, 4주공아파트(상가) 1층 102호 (용상동)",054-857-0880,2020-09-07
일반미용업,모든이미용실,경상북도 안동시 제비원로 245 (안기동),054-852-8962,2020-09-07
일반미용업,행복미용실,경상북도 안동시 합전1길 64-6 (송현동),054-852-0644,2020-09-07
일반미용업,해나헤어샵,경상북도 안동시 경북대로 428 (옥동),054-854-1746,2020-09-07
일반미용업,은행머리방,경상북도 안동시 대석4길 9 (목성동),054-852-1501,2020-09-07
일반미용업,송현미용실,"경상북도 안동시 합전길 6, 우성아파트 상가 11호 (송현동)",054-857-4380,2020-09-07
일반미용업,유진 머릿결,경상북도 안동시 합전2길 13 (송현동),054-853-4161,2020-09-07
일반미용업,머리사랑미용실,경상북도 안동시 합전2길 29 (송현동),054-859-2569,2020-09-07
일반미용업,노수진헤어샵,경상북도 안동시 단원로 91 (운안동),054-854-1382,2020-09-07
일반미용업,김민주헤어필,경상북도 안동시 대안로 156 (남문동),054-854-1268,2020-09-07
일반미용업,중앙미장원,경상북도 안동시 북후면 북평로 869-2,054-859-5153,2020-09-07
일반미용업,수정미용실,경상북도 안동시 북후면 북평로 863-1,054-859-5163,2020-09-07
일반미용업,동신미장원,경상북도 안동시 녹전면 신평리 214-4 ,054-857-3516,2020-09-07
일반미용업,샛별미용실,경상북도 안동시 도산면 선성중앙길 31,054-856-0046,2020-09-07
일반미용업,희경미용실,경상북도 안동시 와룡면 문화마을길 16,054-856-4542,2020-09-07
일반미용업,세명미용실,경상북도 안동시 예안면 정산2길 20,054-822-1525,2020-09-07
일반미용업,서울미용실,경상북도 안동시 예안면 농암로 1508-1,054-822-5156,2020-09-07
일반미용업,명동헤어샵,경상북도 안동시 서후면 학가산온천길 31,054-852-3955,2020-09-07
일반미용업,하나미용실,경상북도 안동시 풍천면 구담배나들길 14,054-853-2963,2020-09-07
일반미용업,안동미용실,경상북도 안동시 풍천면 섬마길 13,054-854-2076,2020-09-07
일반미용업,김미용실,경상북도 안동시 풍천면 섬마길 6-7,054-853-2556,2020-09-07
일반미용업,진선미용실,경상북도 안동시 일직면 중앙통길 16-1,054-858-9923,2020-09-07
일반미용업,유리아미용실,"경상북도 안동시 길안면 천지길 63, 1층",054-822-5617,2020-09-07
일반미용업,경아미용실,경상북도 안동시 길안면 천지길 45,054-822-3580,2020-09-07
일반미용업,중앙미장원,경상북도 안동시 일직면 중앙통길 6,054-858-5022,2020-09-07
일반미용업,풍산미용실,경상북도 안동시 풍산읍 하리들길 3,054-858-4156,2020-09-07
일반미용업,김숙희헤어컬렉션,경상북도 안동시 풍산읍 풍산중앙길 145,054-858-7996,2020-09-07
일반미용업,중앙미장원,경상북도 안동시 풍산읍 풍산중앙길 138-1,054-858-4230,2020-09-07
일반미용업,머리몽땅미용실,경상북도 안동시 풍산읍 풍산중앙길 106,054-859-3786,2020-09-07
일반미용업,정헤어샵,경상북도 안동시 풍산읍 풍산중앙길 114-1,054-854-7449,2020-09-07
일반미용업,문화미용실,경상북도 안동시 풍산읍 풍산중앙길 123,054-858-5368,2020-09-07
일반미용업,김영희헤어스케치,경상북도 안동시 풍산읍 장터중앙길 8,054-858-1418,2020-09-07
일반미용업,자매미용실,경상북도 안동시 임동면 챗거리길 35-9,054-822-2997,2020-09-07
일반미용업,운산미용실,경상북도 안동시 일직면 경북대로 7357,054-858-6564,2020-09-07
일반미용업,서문희헤어샵,경상북도 안동시 남문로 22-16 (남문동),054-841-0360,2020-09-07
일반미용업,임숙헤어라인,"경상북도 안동시 서동문로 170, 2층 (삼산동)",054-858-6977,2020-09-07
일반미용업,학사헤어샵,경상북도 안동시 경동로 1375 (송천동),054-820-5035,2020-09-07
일반미용업,화미주아티클헤어,경상북도 안동시 문화광장길 63 (삼산동),054-859-0633,2020-09-07
일반미용업,우아미미용실,경상북도 안동시 음식의길 75 (삼산동),054-857-8198,2020-09-07
일반미용업,진미용실,경상북도 안동시 음식의길 90 (옥정동),054-857-8768,2020-09-07
일반미용업,용궁미용실,경상북도 안동시 상지길 6 (율세동),054-857-6408,2020-09-07
일반미용업,이경자헤어리더,"경상북도 안동시 경동로 323 (송현동, 104호)",054-853-5043,2020-09-07
일반미용업,수정미용실,경상북도 안동시 제비원로 279-1 (안기동),054-852-0146,2020-09-07
일반미용업,유명미용실,경상북도 안동시 전거리7길 54 (용상동),054-821-2077,2020-09-07
일반미용업,정다운헤어샵,경상북도 안동시 전거리1길 88 (용상동),054-821-4506,2020-09-07
일반미용업,성미용실 본점,경상북도 안동시 태사2길 6 (삼산동),054-858-7376,2020-09-07
일반미용업,유현주헤어라인,경상북도 안동시 경동로 895 (용상동),054-821-7704,2020-09-07
일반미용업,수헤어샵,경상북도 안동시 태사1길 3 (삼산동),054-823-7172,2020-09-07
일반미용업,이조헤어클럽,"경상북도 안동시 길주길 93 (용상동, (2층))",054-841-2519,2020-09-07
일반미용업,무지개미용실,경상북도 안동시 은행나무로 106-6 (옥동),054-854-5912,2020-09-07
일반미용업,이가자헤어비스,경상북도 안동시 옥동1길 2 (옥동),054-841-8322,2020-09-07
일반미용업,정미용실,경상북도 안동시 광명로 178 (옥동),054-855-3210,2020-09-07
일반미용업,화이트헤어,경상북도 안동시 퇴계로 86-1 (서부동),054-855-2939,2020-09-07
일반미용업,쎄씨미용실,경상북도 안동시 중앙시장2길 26-1 (옥야동),054-857-7850,2020-09-07
일반미용업,새정미용실,경상북도 안동시 대석길 21 (대석동),054-859-5382,2020-09-07
일반미용업,남자세상,"경상북도 안동시 경동로 495, 2층 (태화동)",,2020-09-07
일반미용업,세븐미용실,경상북도 안동시 서경지8길 31 (태화동),054-857-6492,2020-09-07
일반미용업,온유미용실,경상북도 안동시 복주길 34 (옥동),054-857-6662,2020-09-07
일반미용업,은혜미용실,경상북도 안동시 풍천면 지풍로 1674,054-853-2566,2020-09-07
일반미용업,정헤어라인,"경상북도 안동시 전거리7길 34, 1층 (용상동)",054-821-1366,2020-09-07
일반미용업,비젼헤어샵,경상북도 안동시 광석1길 50 (광석동),054-858-2427,2020-09-07
일반미용업,하마헤어샵,경상북도 안동시 중앙로 30 (서부동),054-859-0030,2020-09-07
일반미용업,갑을헤어라인,"경상북도 안동시 단원로 90, 1층 (평화동)",054-859-0700,2020-09-07
일반미용업,현이 헤어,경상북도 안동시 태사2길 42 (북문동),054-855-7049,2020-09-07
일반미용업,박승철헤어스투디오,"경상북도 안동시 경동로 656 (운흥동, 홈플러스안동점3층)",054-823-0227,2020-09-07
일반미용업,예삐오,"경상북도 안동시 송하1길 92, 2층 (송현동)",054-852-8589,2020-09-07
일반미용업,원헤어,경상북도 안동시 대안로 145 (남문동),054-841-3222,2020-09-07
일반미용업,신옥남헤어센스,경상북도 안동시 단원로 97 (운안동),054-843-4857,2020-09-07
일반미용업,좋은미용실,경상북도 안동시 경동로 854 (용상동),054-822-1008,2020-09-07
일반미용업,한솔미장,경상북도 안동시 강남6길 24 (정하동),054-853-3651,2020-09-07
일반미용업,헤어테라피,경상북도 안동시 광명로 169 (옥동),054-855-0337,2020-09-07
일반미용업,헤어칼라,경상북도 안동시 은행나무로 106-6 (옥동),,2020-09-07
일반미용업,이가헤어,경상북도 안동시 광석3길 3 (광석동),054-843-2979,2020-09-07
일반미용업,뮤헤어샵,경상북도 안동시 중앙로 24-1 (서부동),,2020-09-07
일반미용업,스킨헤어아트,경상북도 안동시 서악길 3 (태화동),,2020-09-07
일반미용업,윤헤어 커커,경상북도 안동시 퇴계로 184 (신안동),054-859-7069,2020-09-07
일반미용업,성원헤어프로포즈,"경상북도 안동시 어가골윗길 14, 우성아파트 1층 101호 (태화동)",,2020-09-07
일반미용업,쉬즈머리방,경상북도 안동시 옥광1길 17 (옥동),054-843-5909,2020-09-07
일반미용업,미& 미헤어샵,경상북도 안동시 안기1길 5 (안기동),,2020-09-07
일반미용업,빅헤어,"경상북도 안동시 복주1길 55, 2층 (옥동)",054-859-2037,2020-09-07
일반미용업,감(感),경상북도 안동시 경북대로 442 (옥동),054-854-1956,2020-09-07
일반미용업,아름다울미헤어샵,경상북도 안동시 합전2길 19 (송현동),054-854-5489,2020-09-07
일반미용업,새가위소리,"경상북도 안동시 태화길 35, 1층 (태화동)",,2020-09-07
일반미용업,반헤어,경상북도 안동시 남문로 26-1 (삼산동),054-854-8558,2020-09-07
일반미용업,배냇머리미용실,경상북도 안동시 대안로 78-1 (옥야동),,2020-09-07
일반미용업,수미용실,경상북도 안동시 경동로 862 (용상동),054-852-3077,2020-09-07
일반미용업,휴 미장,경상북도 안동시 강남1길 119 (정하동),054-852-7683,2020-09-07
일반미용업,캣츠 헤어 앤 메이컵,"경상북도 안동시 옥동길 9, 1층 (옥동)",054-852-1157,2020-09-07
일반미용업,여정헤어샾,경상북도 안동시 퇴계로 253 (안막동),054-853-5398,2020-09-07
일반미용업,준헤어,경상북도 안동시 강남1길 98-18 (정하동),054-842-0338,2020-09-07
일반미용업,라엔뜨레,"경상북도 안동시 문화광장길 40-10, 4층 (남부동)",054-858-1179,2020-09-07
일반미용업,카라미용실,경상북도 안동시 광석4길 45 (광석동),054-855-6152,2020-09-07
일반미용업,정이헤어,경상북도 안동시 남문로 31 (서부동),054-858-2301,2020-09-07
일반미용업,구일미용실,경상북도 안동시 경동로 445 (태화동),054-852-6056,2020-09-07
일반미용업,최은자미용실,경상북도 안동시 단원로 115 (안기동),054-854-8254,2020-09-07
일반미용업,이갑주헤어아트,경상북도 안동시 경동로 885 (용상동),054-823-1542,2020-09-07
일반미용업,태금미용실,경상북도 안동시 광석3길 19 (광석동),054-854-5064,2020-09-07
일반미용업,석머리방,경상북도 안동시 대안로 83-1 (광석동),054-841-6928,2020-09-07
일반미용업,진경미로,경상북도 안동시 중앙로 14 (서부동),054-841-8400,2020-09-07
일반미용업,타임헤어갤러리,경상북도 안동시 중앙로 25 (서부동),054-852-7977,2020-09-07
일반미용업,박미용실,경상북도 안동시 제비원로 268-7 (안기동),,2020-09-07
일반미용업,사라미용실,경상북도 안동시 대안로 110 (안흥동),054-854-4536,2020-09-07
일반미용업,꽃미용실,경상북도 안동시 대안로 98-7 (옥야동),,2020-09-07
일반미용업,미인헤어샾,경상북도 안동시 영호5길 8 (옥야동),054-852-7307,2020-09-07
일반미용업,카라헤어,경상북도 안동시 옥서1길 16 (옥동),054-859-9559,2020-09-07
일반미용업,보미헤어,"경상북도 안동시 경동로 404-7, 1층 101호 (태화동, 이편한세상2단지)",054-841-7298,2020-09-07
일반미용업,김도이미용실,"경상북도 안동시 감나무5길 19, 현대아파트 상가 B동 203호 (평화동)",054-855-1388,2020-09-07
일반미용업,맥(MAC)미용실,경상북도 안동시 옥광1길 17 (옥동),054-859-8274,2020-09-07
일반미용업,우정미용실,"경상북도 안동시 경동로 838, 1층 (용상동)",054-822-8582,2020-09-07
일반미용업,헤어1번지,경상북도 안동시 광석3길 12 (광석동),,2020-09-07
일반미용업,보배미용실,경상북도 안동시 중앙시장길 23 (안흥동),,2020-09-07
일반미용업,민머리방,경상북도 안동시 제비원로 271-1 (안기동),054-843-6655,2020-09-07
일반미용업,벨라헤어샵,경상북도 안동시 경동로 932 (용상동),054-823-9002,2020-09-07
일반미용업,헤어네일,"경상북도 안동시 복주2길 39, 두레마을아파트 201동 101호 (옥동)",054-841-2332,2020-09-07
일반미용업,로담헤어샵,경상북도 안동시 경동로 910 (용상동),054-823-9609,2020-09-07
일반미용업,퀸헤어,경상북도 안동시 경동로 981 (용상동),054-823-3366,2020-09-07
일반미용업,라임헤어,경상북도 안동시 강남1길 98-19 (정하동),054-853-3265,2020-09-07
일반미용업,리안헤어,경상북도 안동시 송현길 16 (송현동),054-852-5199,2020-09-07
일반미용업,김민정헤어샵,경상북도 안동시 중앙로 26 (서부동),054-841-9630,2020-09-07
일반미용업,강영희헤어샵,경상북도 안동시 안기길 6 (안기동),054-822-1229,2020-09-07
일반미용업,현헤어,경상북도 안동시 황토마을1길 6-1 (송현동),,2020-09-07
일반미용업,듀크헤어,경상북도 안동시 옥서1길 77 (옥동),,2020-09-07
일반미용업,바가지머리,경상북도 안동시 강남5길 50 (정하동),054-853-8544,2020-09-07
일반미용업,헤어닥터,"경상북도 안동시 전거리4길 74, 1층 (용상동)",,2020-09-07
일반미용업,코코헤어,"경상북도 안동시 전거리8길 93, 1층 (용상동)",054-822-7259,2020-09-07
일반미용업,현헤어코디,"경상북도 안동시 합전길 6, 1층 2호 (송현동, 송현우성상가)",054-853-4090,2020-09-07
일반미용업,스타일,"경상북도 안동시 서동문로 174-10, 2층 (삼산동)",,2020-09-07
일반미용업,비엔비,"경상북도 안동시 경북대로 402, 1층 (옥동)",,2020-09-07
일반미용업,헤어팡,"경상북도 안동시 말구리길 71, 1층 (태화동)",054-823-2233,2020-09-07
일반미용업,헤어엠스타일,경상북도 안동시 퇴계로 90 (서부동),054-821-4026,2020-09-07
일반미용업,해영헤어샵,"경상북도 안동시 송현길 84-14 (송현동, 송현2차청구하이츠 301동 102호)",,2020-09-07
일반미용업,만인미장원,경상북도 안동시 풍산읍 풍산중앙길 135,,2020-09-07
일반미용업,와미용실,경상북도 안동시 안기1길 29 (안기동),,2020-09-07
일반미용업,미광미용실,경상북도 안동시 북후면 산북로 1592,054-858-9604,2020-09-07
일반미용업,손주연헤어,경상북도 안동시 강남1길 113 (정하동),054-857-4407,2020-09-07
일반미용업,이경미헤어,"경상북도 안동시 중앙로 50 (삼산동, (2층))",054-852-9933,2020-09-07
일반미용업,태후사랑미용실,"경상북도 안동시 강남5길 109 (정하동, 석미한아름상가동 202호)",054-859-1177,2020-09-07
일반미용업,로지헤어,"경상북도 안동시 말구리길 40, 1층 (태화동)",054-859-2525,2020-09-07
일반미용업,은희헤어샵,경상북도 안동시 경동로 886-1 (용상동),,2020-09-07
일반미용업,외출준비미용실,"경상북도 안동시 중앙시장1길 75, 1층 (안흥동)",054-855-9945,2020-09-07
일반미용업,미장원,"경상북도 안동시 중평길 36 (용상동, (2층))",054-821-3807,2020-09-07
일반미용업,비비헤어,"경상북도 안동시 옥서1길 19 (옥동, 7주공상가동 201호)",054-858-7718,2020-09-07
일반미용업,프리스타일,"경상북도 안동시 경북대로 427 (옥동, 3층 302호)",054-858-2227,2020-09-07
일반미용업,이철헤어커커(안동점),"경상북도 안동시 대안로 164 (남부동, (2층))",054-856-2235,2020-09-07
일반미용업,영헤어,경상북도 안동시 경동로 999-10 (용상동),,2020-09-07
일반미용업,경은미용실,"경상북도 안동시 임하면 충효로 3264, 1층",,2020-09-07
일반미용업,이샵(Lee#)헤어,"경상북도 안동시 강남4길 20, 1층 (정하동)",,2020-09-07
일반미용업,은옥네일아트,경상북도 안동시 경북대로 439 (옥동),054-856-4421,2020-09-07
일반미용업,유진헤어(hair),"경상북도 안동시 남문로 26, 2층 (삼산동)",,2020-09-07
일반미용업,본헤어,경상북도 안동시 복주1길 22 (옥동),054-854-4614,2020-09-07
일반미용업,설레임헤어살롱,"경상북도 안동시 경북대로 400, 1층 (옥동)",054-842-4334,2020-09-07
일반미용업,태후사랑,"경상북도 안동시 경동로 862 (용상동, 상가56호)",,2020-09-07
일반미용업,꾸밈헤어샵,"경상북도 안동시 문화광장길 40-4, 2층 (남부동)",054-900-2135,2020-09-07
일반미용업,가람헤어샵,"경상북도 안동시 길주길 63, 3호 (용상동)",054-822-7227,2020-09-07
일반미용업,너나들이예진헤어,"경상북도 안동시 번영1길 58-16, 2층 (서부동)",054-854-7979,2020-09-07
일반미용업,힐링트리,"경상북도 안동시 감나무3길 42, 2층 (평화동)",,2020-09-07
일반미용업,헤어샵나나,"경상북도 안동시 중앙로 46-1, 2층 (삼산동)",054-855-5580,2020-09-07
