,업종명,인허가일자,업소명,영업자,소재지(도로명),소재지,영업장면적,소재지전화,법인명,업태명,업종명.1
15,일반음식점,28984,귀빈각,김종록,경상북도 칠곡군 약목면 금오대로 21,경상북도 칠곡군 약목면 복성리 442번지 2호  ,106.95,054-975-5531,-,중국식,일반음식점
16,일반음식점,29473,대성식당,허억,-,경상북도 칠곡군 동명면 구덕리 99번지  ,0.0,054-976-7672,-,한식,일반음식점
17,일반음식점,29528,호반레스토랑,채경희,경상북도 칠곡군 동명면 한티로 121,경상북도 칠곡군 동명면 구덕리 496번지 1호  ,24.08,054-977-2666,-,경양식,일반음식점
18,일반음식점,29528,송림못매운탕,이상미,경상북도 칠곡군 동명면 한티로 115-22,경상북도 칠곡군 동명면 구덕리 586번지 7호  ,31.25,054-976-8747,-,탕류(보신용),일반음식점
19,일반음식점,29825,운전기사식당,황보승,경상북도 칠곡군 왜관읍 칠곡대로 1771,경상북도 칠곡군 왜관읍 삼청리 537번지  ,21.12,054-974-1464,-,한식,일반음식점
20,일반음식점,29823,만리궁반점,이춘옥,경상북도 칠곡군 왜관읍 석전로12길 7,경상북도 칠곡군 왜관읍 석전리 432번지 1호  ,0.0,054-974-1135,-,중국식,일반음식점
21,일반음식점,29708,진아식당,이남이,경상북도 칠곡군 왜관읍 칠곡대로 1751,경상북도 칠곡군 왜관읍 삼청리 483번지 1호  ,182.11,054-974-1763,-,탕류(보신용),일반음식점
22,일반음식점,29809,지난방식당,이세굉,경상북도 칠곡군 왜관읍 2번도로길 53-1,경상북도 칠곡군 왜관읍 왜관리 258번지 59호  ,0.0,054-974-1906,-,분식,일반음식점
23,일반음식점,29819,중화식당,오광부,경상북도 칠곡군 왜관읍 중앙로3길 5-1,경상북도 칠곡군 왜관읍 왜관리 235번지 22호  ,0.0,054-974-0261,-,중국식,일반음식점
24,일반음식점,29819,서울식육식당,이숙경,경상북도 칠곡군 왜관읍 중앙로 241,경상북도 칠곡군 왜관읍 왜관리 191번지 25호  ,0.0,054-973-9118,-,식육(숯불구이),일반음식점
25,일반음식점,29837,동명식당,신의숙,-,경상북도 칠곡군 동명면 금암리 240번지  ,0.0,054-976-8170,-,한식,일반음식점
26,일반음식점,29764,동천식당,박응화,경상북도 칠곡군 북삼읍 금오동천로 166,경상북도 칠곡군 북삼읍 숭오리 909번지 11호  ,82.92,054-972-2876,-,한식,일반음식점
27,일반음식점,29826,의성기사식당,백선복,경상북도 칠곡군 가산면 경북대로 1564,경상북도 칠곡군 가산면 천평리 134번지 8호  ,0.0,054-971-7583,-,한식,일반음식점
28,일반음식점,29826,안동식당,김인숙,경상북도 칠곡군 가산면 경북대로 1562,경상북도 칠곡군 가산면 천평리 132번지 2호  ,0.0,054-971-7736,-,한식,일반음식점
29,일반음식점,29902,미가쌈냉면,서영호,경상북도 칠곡군 북삼읍 금오대로 73,경상북도 칠곡군 북삼읍 율리 641번지 5호  ,94.94,054-972-5602,-,중국식,일반음식점
30,일반음식점,29826,하판식육식당,윤점현,경상북도 칠곡군 가산면 인동가산로 1035,경상북도 칠곡군 가산면 송학리 259번지 1호  ,0.0,054-971-7342,-,식육(숯불구이),일반음식점
31,일반음식점,29826,경주식당,이향미,경상북도 칠곡군 북삼읍 금오대로4길 3,경상북도 칠곡군 북삼읍 인평리 1094번지 9호  ,38.58,054-972-4650,-,한식,일반음식점
32,일반음식점,29826,삼성식당,정송자,-,경상북도 칠곡군 북삼읍 어로리 227번지  ,0.0,054-972-2885,-,한식,일반음식점
33,일반음식점,29629,춘화식당,심춘화,경상북도 칠곡군 약목면 약목로 71-1,경상북도 칠곡군 약목면 복성리 966번지  ,68.72,054-974-4046,-,한식,일반음식점
34,일반음식점,30006,송림사가는길,윤영숙,-,경상북도 칠곡군 동명면 구덕리 99번지  ,0.0,,-,한식,일반음식점
35,일반음식점,30055,호수가애(본점),여승재,경상북도 칠곡군 동명면 구남로 15,경상북도 칠곡군 동명면 구덕리 143번지  ,374.56,054-977-5209,-,한식,일반음식점
36,일반음식점,30121,금오식당,김대원,-,경상북도 칠곡군 북삼읍 숭오리 909번지  ,31.93,054-972-0363,-,한식,일반음식점
37,일반음식점,30049,삼거리보양탕,김상일,경상북도 칠곡군 약목면 칠곡대로 438,경상북도 칠곡군 약목면 복성리 562번지 1호  ,55.2,054-974-4649,-,한식,일반음식점
38,일반음식점,30461,정문보양가든,여정희,경상북도 칠곡군 왜관읍 현대로 40-39,경상북도 칠곡군 왜관읍 삼청리 521번지 2호  ,98.0,054-973-7259,-,탕류(보신용),일반음식점
39,일반음식점,30641,동부식당,김기수,경상북도 칠곡군 왜관읍 평장2길 40-1,경상북도 칠곡군 왜관읍 왜관리 685번지 5호  ,0.0,054-971-4086,-,한식,일반음식점
40,일반음식점,30321,용암식당,김외분,-,경상북도 칠곡군 왜관읍 왜관리 211번지 42호  ,0.0,054-973-9423,-,한식,일반음식점
41,일반음식점,30502,장군순대국,하효진,-,경상북도 칠곡군 왜관읍 왜관리 212번지  ,38.25,054-973-6897,-,탕류(보신용),일반음식점
42,일반음식점,30450,천평궁전식당,황명철,경상북도 칠곡군 가산면 경북대로 1578,경상북도 칠곡군 가산면 천평리 33번지 3호  ,0.0,054-971-7773,-,식육(숯불구이),일반음식점
43,일반음식점,30806,국제식당,이창열,경상북도 칠곡군 왜관읍 석전로 161-1,경상북도 칠곡군 왜관읍 석전리 367번지  ,0.0,054-971-6651,-,경양식,일반음식점
44,일반음식점,30877,영동식당,탁정순,경상북도 칠곡군 지천면 신동로7길 22,경상북도 칠곡군 지천면 신리 503번지 11호  ,0.0,054-972-2387,-,한식,일반음식점
45,일반음식점,31044,금하,김정금,경상북도 칠곡군 왜관읍 중앙로3길 11,"경상북도 칠곡군 왜관읍 왜관리 253번지 8호 ,24 ",0.0,054-974-8461,-,한식,일반음식점
46,일반음식점,30956,경북식당,신선희,경상북도 칠곡군 가산면 경북대로 1561,경상북도 칠곡군 가산면 천평리 175번지 2호 외 2필지 ,257.11,054-971-7835,-,한식,일반음식점
47,일반음식점,30833,강변식당,홍영표,-,경상북도 칠곡군 약목면 관호리 420번지  ,0.0,054-974-7392,-,한식,일반음식점
48,일반음식점,30921,어촌생선구이,이송희,경상북도 칠곡군 약목면 금오대로 45-5,경상북도 칠곡군 약목면 교리 519번지 151호  ,0.0,054-975-5799,-,한식,일반음식점
49,일반음식점,31383,오복식당,이상미,-,경상북도 칠곡군 왜관읍 왜관리 211번지 188호  ,29.44,054-976-2983,-,한식,일반음식점
50,일반음식점,31268,백년식당,백순남,경상북도 칠곡군 북삼읍 금오동천로 109,경상북도 칠곡군 북삼읍 숭오리 891번지  ,148.06,054-972-1144,-,한식,일반음식점
51,일반음식점,31057,금우은돈숯불가든,장희선,경상북도 칠곡군 약목면 칠곡대로 1042,경상북도 칠곡군 약목면 관호리 738번지 1호  ,220.6,054-972-3556,-,식육(숯불구이),일반음식점
52,일반음식점,31273,산촌가든,이혜숙,-,경상북도 칠곡군 약목면 관호리 923번지 6호  ,47.6,054-974-0907,-,한식,일반음식점
53,일반음식점,31591,칠곡(하)휴게소 자율식당,성대현,경상북도 칠곡군 왜관읍 경부고속도로 159,경상북도 칠곡군 왜관읍 아곡리 302번지 외3필지 ,561.4,054-975-2277,(주)대주산업,한식,일반음식점
54,일반음식점,31558,칠곡(서울방향)휴게소 자율식당,이기진,경상북도 칠곡군 왜관읍 경부고속도로 158,경상북도 칠곡군 왜관읍 아곡리 138번지  ,890.5,054-975-1883,대신기업(주)칠곡지점,한식,일반음식점
55,일반음식점,31685,Everest Bhanch Ghar(에브레스트식당),TAMANG MLANG DOLMA,경상북도 칠곡군 왜관읍 중앙로7길 10,경상북도 칠곡군 왜관읍 왜관리 249번지 15호  ,44.5,054-971-0201,-,정종/대포집/소주방,일반음식점
56,일반음식점,31471,별이 빛나는 밤에,김미란,경상북도 칠곡군 왜관읍 중앙로2길 35-1,경상북도 칠곡군 왜관읍 왜관리 237번지 20호  ,0.0,054-971-8614,-,한식,일반음식점
57,일반음식점,31621,삼거리식당,여택균,경상북도 칠곡군 지천면 창평로 17,경상북도 칠곡군 지천면 창평리 796번지  ,0.0,054-972-2305,-,한식,일반음식점
58,일반음식점,31660,시장칼국수,강태욱,-,경상북도 칠곡군 왜관읍 왜관리 212번지  ,0.0,054-977-1667,-,분식,일반음식점
59,일반음식점,31528,북부식육식당,정수옥,경상북도 칠곡군 왜관읍 시장1길 2,경상북도 칠곡군 왜관읍 왜관리 191번지 18호  ,0.0,054-974-2701,-,식육(숯불구이),일반음식점
60,일반음식점,31621,대경식당,추재권,경상북도 칠곡군 동명면 기성3길 27,경상북도 칠곡군 동명면 기성리 301번지  ,324.03,054-975-7979,-,한식,일반음식점
61,일반음식점,31664,늘봄식당,배순덕,-,경상북도 칠곡군 가산면 송학리 233번지 4호  ,0.0,054-971-2320,-,한식,일반음식점
62,일반음식점,31609,가산유학동산식당,백종권,경상북도 칠곡군 가산면 호국로 1278-4,경상북도 칠곡군 가산면 학산리 634번지  ,0.0,054-972-5522,-,한식,일반음식점
63,일반음식점,31524,대왕식당,박성순,경상북도 칠곡군 약목면 약목로1길 5,경상북도 칠곡군 약목면 복성리 949번지 10호  ,68.3,054-974-6746,-,한식,일반음식점
64,일반음식점,31478,봉덕식당,김종수,경상북도 칠곡군 약목면 관호6길 9-2,경상북도 칠곡군 약목면 관호리 765번지 2호  ,0.0,054-973-5271,-,한식,일반음식점
65,일반음식점,31426,가산학마을한우식당,박희자,경상북도 칠곡군 가산면 인동가산로 1026,경상북도 칠곡군 가산면 송학리 226번지 2호  ,82.1,054-976-6688,-,식육(숯불구이),일반음식점
66,일반음식점,31981,꽃돼지식당,최말순,경상북도 칠곡군 왜관읍 공단로4길 10,경상북도 칠곡군 왜관읍 금산리 986번지 30호  ,86.16,054-977-7719,-,한식,일반음식점
67,일반음식점,31789,치킨매니아,문미화,경상북도 칠곡군 왜관읍 석전로 157-1,"경상북도 칠곡군 왜관읍 석전리 446번지 9호 , 3 ",0.0,054-971-9977,-,통닭(치킨),일반음식점
68,일반음식점,31989,두메산골식당,정덕자,경상북도 칠곡군 왜관읍 2번도로길 48,경상북도 칠곡군 왜관읍 왜관리 250번지 48호  ,0.0,054-971-0367,-,한식,일반음식점
69,일반음식점,31868,홍영임왕오리촌닭,홍영임,경상북도 칠곡군 동명면 한티로 465,경상북도 칠곡군 동명면 기성리 1064번지 3호  ,54.3,054-975-7773,-,한식,일반음식점
70,일반음식점,31954,서울식당,장옥화,경상북도 칠곡군 가산면 경북대로 1564-1,경상북도 칠곡군 가산면 천평리 134번지 7호  ,0.0,054-971-7794,-,한식,일반음식점
71,일반음식점,32125,장마을,김미정,경상북도 칠곡군 가산면 송신로 33,경상북도 칠곡군 가산면 천평리 26번지 11호  ,118.59,054-971-7521,-,한식,일반음식점
72,일반음식점,32317,카스식당,정연희,경상북도 칠곡군 왜관읍 석전로 36-1,경상북도 칠곡군 왜관읍 석전리 736번지 2호  ,30.4,054-971-0118,-,한식,일반음식점
73,일반음식점,32423,신짬뽕공화국,이강천,경상북도 칠곡군 왜관읍 달오3길 10,경상북도 칠곡군 왜관읍 왜관리 1433번지  ,176.74,054-971-5825,-,중국식,일반음식점
74,일반음식점,32227,대영식당,김옥자,경상북도 칠곡군 기산면 지산로 693,경상북도 칠곡군 기산면 봉산리 32번지 8호  ,60.82,054-971-0273,-,중국식,일반음식점
75,일반음식점,32423,싸리골기사식당,박미자,경상북도 칠곡군 왜관읍 칠곡대로 1815-11,경상북도 칠곡군 왜관읍 삼청리 572번지 1호  ,0.0,054-973-3995,-,한식,일반음식점
76,일반음식점,32317,대구통닭,안봉희,경상북도 칠곡군 왜관읍 중앙로 186,"경상북도 칠곡군 왜관읍 왜관리 228번지 3호 , 9 ",0.0,054-971-0858,-,통닭(치킨),일반음식점
77,일반음식점,32471,채마루,박소영,경상북도 칠곡군 왜관읍 중앙로4길 10,경상북도 칠곡군 왜관읍 왜관리 253번지 16호  ,137.34,054-972-7113,-,한식,일반음식점
78,일반음식점,32266,금수힐링,배계달,경상북도 칠곡군 동명면 기성3길 8,경상북도 칠곡군 동명면 기성리 952번지  ,0.0,054-975-9660,-,한식,일반음식점
79,일반음식점,32458,하바드통닭식당,이의순,경상북도 칠곡군 약목면 약목로 58,경상북도 칠곡군 약목면 남계리 93번지 5호  ,0.0,054-974-6646,-,통닭(치킨),일반음식점
80,일반음식점,32288,약수터식당,권영옥,-,경상북도 칠곡군 약목면 남계리 665번지  ,0.0,054-975-0623,-,한식,일반음식점
81,일반음식점,32604,안동주촌,이미령,경상북도 칠곡군 왜관읍 중앙로7길 3-1,경상북도 칠곡군 왜관읍 왜관리 241번지 24호  ,0.0,054-973-3529,-,한식,일반음식점
82,일반음식점,32817,미스터피자 왜관점,박정득,경상북도 칠곡군 왜관읍 중앙로 210,경상북도 칠곡군 왜관읍 왜관리 212번지 8호  ,134.16,054-973-7111,-,패스트푸드,일반음식점
83,일반음식점,32591,국시랑묵,구양숙,경상북도 칠곡군 왜관읍 석전로 40,경상북도 칠곡군 왜관읍 석전리 735번지 3호  ,51.85,054-973-8704,-,중국식,일반음식점
84,일반음식점,32710,구덕메기&장어마을,조태현,경상북도 칠곡군 동명면 한티로 7,경상북도 칠곡군 동명면 금암리 157번지 9호  ,118.97,054-976-8378,-,한식,일반음식점
85,일반음식점,32731,군위식당,박미화,경상북도 칠곡군 동명면 한티로 653-1,경상북도 칠곡군 동명면 기성리 158번지 5호  ,0.0,054-975-4437,-,한식,일반음식점
86,일반음식점,32815,한양기사식당,하철용,경상북도 칠곡군 석적읍 석적로 652,경상북도 칠곡군 석적읍 포남리 546번지 1호  ,67.3,054-975-9448,-,한식,일반음식점
87,일반음식점,32820,원두막,유광옥,경상북도 칠곡군 북삼읍 인평중앙로 27,경상북도 칠곡군 북삼읍 인평리 394번지 5호 10번지 ,37.4,054-974-5837,-,한식,일반음식점
88,일반음식점,32648,호림한식셀프식당,김선이,경상북도 칠곡군 가산면 경북대로 1525,경상북도 칠곡군 가산면 천평리 231번지 2호  ,96.03,054-971-5970,-,한식,일반음식점
89,일반음식점,32820,뉴그린웨딩코아,박평익,경상북도 칠곡군 약목면 관호1길 22,경상북도 칠곡군 약목면 관호리 199번지  ,476.0,054-974-5300,-,한식,일반음식점
90,일반음식점,32972,고기꼬기,김두한,경상북도 칠곡군 왜관읍 구상길 173,경상북도 칠곡군 왜관읍 왜관리 785번지 116호  ,24.55,054-975-7171,-,호프/통닭,일반음식점
91,일반음식점,33210,천궁,김영옥,경상북도 칠곡군 왜관읍 칠곡대로 1753,경상북도 칠곡군 왜관읍 삼청리 480번지 1호 외 2필지 ,172.6,054-971-4141,-,중국식,일반음식점
92,일반음식점,33193,라피오,이현주,경상북도 칠곡군 왜관읍 중앙로 217-1,경상북도 칠곡군 왜관읍 왜관리 212번지 42호  ,78.6,054-973-8986,-,한식,일반음식점
93,일반음식점,33142,한마음식당,노영조,경상북도 칠곡군 왜관읍 2번도로길 22-10,경상북도 칠곡군 왜관읍 왜관리 277번지 1호  ,0.0,054-973-4615,-,한식,일반음식점
94,일반음식점,32983,멕시칸통닭남부점,성순옥,경상북도 칠곡군 왜관읍 중앙로7길 15,경상북도 칠곡군 왜관읍 왜관리 264번지 1호  ,48.28,054-973-8391,-,통닭(치킨),일반음식점
95,일반음식점,33197,88식육식당,김광달,경상북도 칠곡군 왜관읍 시장2길 6,경상북도 칠곡군 왜관읍 왜관리 211번지 186호  ,50.2,054-973-9164,-,식육(숯불구이),일반음식점
96,일반음식점,33126,만미식당,조원희,경상북도 칠곡군 왜관읍 중앙로2길 35,경상북도 칠곡군 왜관읍 왜관리 237번지 26호  ,0.0,054-974-0544,-,한식,일반음식점
97,일반음식점,33061,궁전구이식당,김노미(국외이주자),경상북도 칠곡군 왜관읍 중앙로10길 20,경상북도 칠곡군 왜관읍 왜관리 266번지 4호  ,0.0,054-974-0302,-,한식,일반음식점
98,일반음식점,33183,어시원,김영숙,경상북도 칠곡군 동명면 기성1길 3,경상북도 칠곡군 동명면 기성리 170번지 1호  ,47.8,054-975-3043,-,한식,일반음식점
99,일반음식점,33218,해밥달밥,김홍기,경상북도 칠곡군 동명면 기성3길 12,경상북도 칠곡군 동명면 기성리 946번지 1호  ,0.0,,-,한식,일반음식점
100,일반음식점,32975,미라클식당,김명숙,경상북도 칠곡군 약목면 약목로3길 3,"경상북도 칠곡군 약목면 복성리 962번지 1호 , 2 ",0.0,054-974-5584,-,한식,일반음식점
101,일반음식점,33491,개미식당,최음전,경상북도 칠곡군 왜관읍 중앙로8길 13,경상북도 칠곡군 왜관읍 왜관리 231번지 6호  ,96.36,054-972-6185,-,한식,일반음식점
102,일반음식점,33591,중앙분식,노영자,경상북도 칠곡군 지천면 신동로 130,경상북도 칠곡군 지천면 신리 511번지 15호  ,0.0,054-972-2331,-,분식,일반음식점
103,일반음식점,33400,파시횟집,윤용옥,경상북도 칠곡군 왜관읍 중앙로5길 16,경상북도 칠곡군 왜관읍 왜관리 216번지 56호 외 1필지 ,87.6,054-977-3883,-,회집,일반음식점
104,일반음식점,33311,희야네가게,송정희,경상북도 칠곡군 왜관읍 자조2길 18,경상북도 칠곡군 왜관읍 왜관리 789번지 97호  ,75.33,054-975-5837,-,한식,일반음식점
105,일반음식점,33544,안동국시,전종옥,경상북도 칠곡군 왜관읍 석전로 7,경상북도 칠곡군 왜관읍 왜관리 190번지 2호  ,33.4,054-971-1239,-,한식,일반음식점
106,일반음식점,33515,동명사거리참한우식육식당,최혜훈,경상북도 칠곡군 동명면 한티로 3,경상북도 칠곡군 동명면 금암리 157번지 14호  ,170.2,054-976-5714,-,식육(숯불구이),일반음식점
107,일반음식점,33410,별천지식당,현혜숙,경상북도 칠곡군 동명면 한티로 646,경상북도 칠곡군 동명면 기성리 127번지 1호  ,0.0,054-975-9555,-,한식,일반음식점
108,일반음식점,33410,자야장어본점,권순자,경상북도 칠곡군 석적읍 소학로 12-16,경상북도 칠곡군 석적읍 망정리 920번지  ,66.02,054-974-0019,-,식육(숯불구이),일반음식점
109,일반음식점,33376,금계산장,권종숙,경상북도 칠곡군 가산면 가산로 274,경상북도 칠곡군 가산면 금화리 429번지  ,0.0,054-975-8797,-,한식,일반음식점
110,일반음식점,33396,황해해물탕,박매자,경상북도 칠곡군 약목면 복성1길 12,경상북도 칠곡군 약목면 복성리 977번지 1호  ,142.26,054-974-0402,-,한식,일반음식점
111,일반음식점,33381,옥이네손칼국수,김현옥,경상북도 칠곡군 약목면 관호8길 17,경상북도 칠곡군 약목면 관호리 889번지 4호  ,0.0,054-973-6008,-,탕류(보신용),일반음식점
112,일반음식점,33917,가마솥돼지국밥,박정미,경상북도 칠곡군 왜관읍 2번도로길 51-1,경상북도 칠곡군 왜관읍 왜관리 258번지 6호  ,67.98,054-971-9551,-,탕류(보신용),일반음식점
113,일반음식점,33829,투다리석전점,박애숙,경상북도 칠곡군 왜관읍 석전로9길 1,경상북도 칠곡군 왜관읍 석전리 422번지 8호  ,41.7,054-973-1574,-,호프/통닭,일반음식점
114,일반음식점,33820,마포돼지갈비식당,김호숙,-,경상북도 칠곡군 왜관읍 왜관리 781번지 7호  ,0.0,054-972-8765,-,식육(숯불구이),일반음식점
115,일반음식점,33969,약나무마실,김분자,경상북도 칠곡군 왜관읍 석전로 36,경상북도 칠곡군 왜관읍 석전리 732번지 3호  ,0.0,054-973-4422,-,한식,일반음식점
116,일반음식점,33795,미각아나고막창곰장어,유경남,경상북도 칠곡군 지천면 신동로 170-1,경상북도 칠곡군 지천면 신리 358번지 8호  ,53.8,054-972-3101,-,식육(숯불구이),일반음식점
117,일반음식점,33850,별미식당,류삼희,경상북도 칠곡군 기산면 지산로 961-10,경상북도 칠곡군 기산면 죽전리 275번지 3호  ,114.63,054-971-3774,-,한식,일반음식점
118,일반음식점,33670,안동찜닭왜관점,김재규,경상북도 칠곡군 왜관읍 중앙로6길 11-1,경상북도 칠곡군 왜관읍 왜관리 250번지 25호  ,0.0,054-973-7401,-,한식,일반음식점
119,일반음식점,33933,원조칼국수식당,고건석,경상북도 칠곡군 왜관읍 남부3길 11,경상북도 칠곡군 왜관읍 왜관리 777번지 67호  ,0.0,054-973-8695,-,한식,일반음식점
120,일반음식점,33690,경은해물식당,배길심,경상북도 칠곡군 왜관읍 중앙로10길 16,경상북도 칠곡군 왜관읍 왜관리 1356번지 43호  ,0.0,054-973-7494,-,한식,일반음식점
121,일반음식점,33933,정박사면옥,정철경,경상북도 칠곡군 왜관읍 남부3길 11,경상북도 칠곡군 왜관읍 왜관리 777번지 67호  ,0.0,054-973-7711,-,한식,일반음식점
122,일반음식점,33829,양포횟집,손정헌,"경상북도 칠곡군 왜관읍 중앙로 124-8, 126동 114호",경상북도 칠곡군 왜관읍 왜관리 774번지 우방아파트 상가 126동 114호,0.0,054-975-1636,-,회집,일반음식점
123,일반음식점,33931,멕시카나통닭,김동길,경상북도 칠곡군 왜관읍 관문로 114-6,경상북도 칠곡군 왜관읍 왜관리 370번지 27호  ,0.0,054-973-4516,-,통닭(치킨),일반음식점
124,일반음식점,33868,정문반점,서두영,경상북도 칠곡군 왜관읍 관문로 152,경상북도 칠곡군 왜관읍 왜관리 413번지 5호  ,26.2,054-973-8876,-,중국식,일반음식점
125,일반음식점,33905,마포식육식당,도명숙,경상북도 칠곡군 왜관읍 중앙로 241,경상북도 칠곡군 왜관읍 왜관리 191번지 25호  ,0.0,054-971-0704,-,식육(숯불구이),일반음식점
126,일반음식점,33774,처갓집통닭왜관점,김형자,경상북도 칠곡군 왜관읍 중앙로 124-8,경상북도 칠곡군 왜관읍 왜관리 774번지  ,0.0,054-971-4110,-,통닭(치킨),일반음식점
127,일반음식점,33611,밥줘고기줘,윤현미,경상북도 칠곡군 왜관읍 2번도로길 63-1,경상북도 칠곡군 왜관읍 왜관리 255번지 52호  ,0.0,054-973-5458,-,한식,일반음식점
128,일반음식점,33942,동은숯불갈비,조병순,경상북도 칠곡군 왜관읍 석전로9길 14,경상북도 칠곡군 왜관읍 석전리 408번지 13호  ,39.43,054-974-7019,-,식육(숯불구이),일반음식점
129,일반음식점,33726,으뜸식당,조명숙,경상북도 칠곡군 왜관읍 군청4길 13,경상북도 칠곡군 왜관읍 석전리 781번지 5호  ,0.0,054-972-5111,-,한식,일반음식점
130,일반음식점,33727,주공반점,손인석,경상북도 칠곡군 왜관읍 평장2길 5,경상북도 칠곡군 왜관읍 왜관리 356번지 9호  ,50.2,054-971-0207,-,중국식,일반음식점
131,일반음식점,33933,가고파,김정희,경상북도 칠곡군 왜관읍 2번도로길 55,경상북도 칠곡군 왜관읍 왜관리 258번지 3호  ,0.0,054-971-2231,-,호프/통닭,일반음식점
132,일반음식점,33905,리홍,이현준,경상북도 칠곡군 왜관읍 중앙로 232-1,경상북도 칠곡군 왜관읍 왜관리 211번지 66호  ,73.6,054-973-0660,-,중국식,일반음식점
133,일반음식점,33651,동명가든,권미자,경상북도 칠곡군 동명면 기성2길 45-1,경상북도 칠곡군 동명면 기성리 305번지  ,0.0,054-975-1778,-,한식,일반음식점
134,일반음식점,33942,대명식당,신효순,경상북도 칠곡군 동명면 한티로 648,경상북도 칠곡군 동명면 기성리 129번지 2호  ,0.0,054-975-6061,-,한식,일반음식점
135,일반음식점,33942,은정식당,장선옥,경상북도 칠곡군 동명면 한티로 527,경상북도 칠곡군 동명면 기성리 1000번지 2호  ,0.0,054-975-6588,-,한식,일반음식점
136,일반음식점,33933,한진식당,백재순,경상북도 칠곡군 동명면 기성3길 23,경상북도 칠곡군 동명면 기성리 374번지 3호  ,0.0,054-975-3903,-,한식,일반음식점
137,일반음식점,33957,황토오리가마구이,배이석,경상북도 칠곡군 동명면 한티로 24,경상북도 칠곡군 동명면 금암리 182번지 10호  ,58.3,054-976-1775,-,한식,일반음식점
138,일반음식점,33766,태화장,손선혜,경상북도 칠곡군 석적읍 호국로 733,경상북도 칠곡군 석적읍 망정리 468번지 1호  ,103.4,054-975-3313,-,한식,일반음식점
139,일반음식점,33795,고향의봄,이상민,경상북도 칠곡군 동명면 동명팔거천2길 21,경상북도 칠곡군 동명면 금암리 1364번지 149호  ,0.0,054-976-6166,-,한식,일반음식점
140,일반음식점,33690,잔칫집국수국밥,이용환,경상북도 칠곡군 가산면 경북대로 1467,경상북도 칠곡군 가산면 천평리 350번지 1호  ,0.0,054-971-7875,-,한식,일반음식점
141,일반음식점,33931,영주식당,금지인,경상북도 칠곡군 가산면 경북대로 1564-1,경상북도 칠곡군 가산면 천평리 134번지 7호  ,0.0,054-971-7743,-,한식,일반음식점
142,일반음식점,33803,수목가든,김순이,경상북도 칠곡군 북삼읍 경호천서길 197-26,경상북도 칠곡군 북삼읍 보손리 89번지  ,66.65,054-972-1284,-,한식,일반음식점
