업종명,업소명,소재지,소재지전화
일반음식점,문경상황버섯삼계탕,경상북도 문경시 점촌1길 35 (점촌동),054-552-5982
일반음식점,그린숯불막창,경상북도 문경시 호서로 17-1 (점촌동),054-555-9372
일반음식점,고려관,경상북도 문경시 신흥6길 31-1 (흥덕동),054-553-0369
일반음식점,구름다리상주식당,경상북도 문경시 중앙로 274 (흥덕동),054-555-3742
일반음식점,메밀꽃필무렵,경상북도 문경시 신흥1길 11 (흥덕동),054-553-9990
일반음식점,락원반점,경상북도 문경시 신흥시장길 10 (흥덕동),054-555-6454
일반음식점,통통치킨흥덕점,경상북도 문경시 호서로 116 (흥덕동),054-555-0092
일반음식점,왕벌식당,경상북도 문경시 흥덕로 18 (흥덕동),054-555-1198
일반음식점,맛탕집,경상북도 문경시 상신로 49 (모전동),054-555-1720
일반음식점,주막촌,경상북도 문경시 동로면 금천로 2133,054-553-6565
일반음식점,강촌농원가든,경상북도 문경시 마성면 하내1길 32-8,054-571-8980
일반음식점,쌍용계곡쉼터,경상북도 문경시 농암면 청화로 547,054-571-9911
일반음식점,남부호정반점,경상북도 문경시 매봉2길 23-18 (모전동),054-552-3736
일반음식점,김용운달식당,경상북도 문경시 산북면 김용길 305,054-552-6644
일반음식점,페리카나치킨문경점,경상북도 문경시 문경읍 주흘로 29,054-571-7964
일반음식점,관문식당,경상북도 문경시 문경읍 새재1길 60,054-571-6830
일반음식점,청산매운탕,경상북도 문경시 불정강변길 196 (불정동),054-553-3012
일반음식점,영지식당,경상북도 문경시 남산로 8 (점촌동),054-555-7990
일반음식점,명동식육식당,경상북도 문경시 중앙로 79-1 (점촌동),054-552-2770
일반음식점,남안골두부,경상북도 문경시 중앙7길 6 (점촌동),054-553-3612
일반음식점,영동식당,경상북도 문경시 남산로 4-2 (점촌동),054-553-3838
일반음식점,소리,경상북도 문경시 점촌로 15 (점촌동),054-552-2816
일반음식점,호박넝쿨,경상북도 문경시 중앙7길 19 (점촌동),054-554-2929
일반음식점,청요리식당,경상북도 문경시 호서로 23 (점촌동),054-555-4654
일반음식점,자갈치회집,경상북도 문경시 호서로 40 (점촌동),054-553-1219
일반음식점,도리실메기매운탕,경상북도 문경시 가은읍 도리실안길 13,054-571-8671
일반음식점,다미야식,경상북도 문경시 중앙로 36-1 (모전동),054-555-0003
일반음식점,동남가든숯불갈비,경상북도 문경시 중앙로 318 (흥덕동),054-553-0609
일반음식점,송정 송어장(흥덕점),경상북도 문경시 흥덕1길 1 (흥덕동),054-554-5556
일반음식점,황제회타운,경상북도 문경시 중앙로 212 (흥덕동),054-552-0376
일반음식점,쌍용해장국,경상북도 문경시 신흥로 192 (점촌동),054-553-8858
일반음식점,유원지매운탕,경상북도 문경시 영강공원길 13 (흥덕동),054-554-0059
일반음식점,굽네치킨문경점,경상북도 문경시 반쟁이3길 9 (모전동),054-556-9492
일반음식점,화성가든,경상북도 문경시 마성면 새재로 97-2,054-572-0351
일반음식점,생수식당,경상북도 문경시 농암면 농암3길 3-9,054-571-8218
일반음식점,늑천정가든,경상북도 문경시 농암면 청화로 223-3,054-531-1994
일반음식점,쌍용관광농원,경상북도 문경시 농암면 무운로 86,054-571-3252
일반음식점,가은짬뽕,경상북도 문경시 가은읍 대야로 2474,054-572-1075
일반음식점,학천정가든,경상북도 문경시 가은읍 학천정길 20,054-571-0120
일반음식점,희양슈퍼식육식당,경상북도 문경시 가은읍 원북길 2,054-571-8556
일반음식점,은혜각,경상북도 문경시 가은읍 가은1길 27,054-571-6110
일반음식점,용추골식당,경상북도 문경시 가은읍 용추길 74,054-571-0262
일반음식점,토박이식당,경상북도 문경시 가은읍 대야로 2472-1,054-571-6540
일반음식점,불암식당,경상북도 문경시 산양면 불암2길 25-10,054-552-3802
일반음식점,무까타타이,"경상북도 문경시 당교3길 33-1, 2층 (모전동)",054-555-0884
일반음식점,구내식당,경상북도 문경시 당교3길 25 (모전동),054-550-7975
일반음식점,경주식당,경상북도 문경시 호계면 호계길 5,054-553-3623
일반음식점,산북탕탕회집,경상북도 문경시 산북면 윗한두리길 21,054-552-1357
일반음식점,자바레스토랑,경상북도 문경시 문경읍 청운로 63,054-572-1322
일반음식점,우신왕곰탕,경상북도 문경시 문경읍 문희로 17-3,054-571-0223
일반음식점,백두산가든,경상북도 문경시 문경읍 새재로 869,054-571-4545
일반음식점,그곳에 그집,경상북도 문경시 문경읍 온천5길 14,054-571-0168
일반음식점,한우곰탕,경상북도 문경시 신흥로 144-1 (점촌동),054-552-3170
일반음식점,솔밭식당,경상북도 문경시 중앙6길 6 (점촌동),054-555-4676
일반음식점,덕팔네야식,경상북도 문경시 중앙9길 10 (점촌동),054-553-0321
일반음식점,원주식당,"경상북도 문경시 중앙로 140-3, 1층 (점촌동)",054-555-4257
일반음식점,주막식당,경상북도 문경시 점촌로 40 (점촌동),054-553-6105
일반음식점,은성회관,경상북도 문경시 중앙6길 27-1 (점촌동),054-555-7101
일반음식점,이집이좋겠네,경상북도 문경시 점촌로 29 (점촌동),054-555-2239
일반음식점,창조식당,경상북도 문경시 상신로 20 (점촌동),054-555-8939
일반음식점,서림식당,경상북도 문경시 모전로 54 (모전동),054-555-6360
일반음식점,느티나무 호프,경상북도 문경시 중앙로 190 (흥덕동),054-553-8021
일반음식점,어부의노래,경상북도 문경시 호서로 134 (흥덕동),054-553-8148
일반음식점,대영추어탕,경상북도 문경시 중앙10길 15 (흥덕동),054-555-0203
일반음식점,사랑채,경상북도 문경시 영강공원길 23 (흥덕동),054-553-1919
일반음식점,새터분식,경상북도 문경시 중앙10길 7 (점촌동),054-555-8711
일반음식점,솔밭한우촌,"경상북도 문경시 신흥로 230 (흥덕동, 1층)",054-555-6484
일반음식점,보릿고개식당,경상북도 문경시 신흥시장길 23 (흥덕동),054-553-8356
일반음식점,문경오미자 체험촌,경상북도 문경시 동로면 여우목로 2371-5,054-553-2922
일반음식점,월악농원가든,경상북도 문경시 동로면 금천로 2890-42,054-552-1237
일반음식점,열풍식당,경상북도 문경시 마성면 마성길 88,054-571-3676
일반음식점,돌고래식당,경상북도 문경시 마성면 모곡1길 3,054-571-2222
일반음식점,신남식당,경상북도 문경시 마성면 구랑1길 13,054-571-4922
일반음식점,귀빈식당,경상북도 문경시 농암면 청화로 1130,054-571-3919
일반음식점,대복순대국밥,경상북도 문경시 가은읍 대야로 2468,054-571-5507
일반음식점,거북이식당,경상북도 문경시 산양면 산양로 40-30,054-552-8999
일반음식점,장닭치킨,경상북도 문경시 산양면 불암2길 35,054-554-0921
일반음식점,초계갈비,경상북도 문경시 호계면 부천로 133-1,054-553-7339
일반음식점,경천식육식당,경상북도 문경시 산북면 금천로 578,054-553-6006
일반음식점,송정송어장모전점,경상북도 문경시 매봉2길 29-20 (모전동),054-553-7373
일반음식점,겨우살이 상계탕,경상북도 문경시 당교로 224-1 (모전동),054-556-0532
일반음식점,양평해장국,경상북도 문경시 당교로 201 (모전동),054-556-5544
일반음식점,서울추어탕,경상북도 문경시 상신로 64-1 (모전동),054-552-1037
일반음식점,문경식당,경상북도 문경시 문경읍 새재로 920-1,054-571-3044
일반음식점,새재할매집,경상북도 문경시 문경읍 새재로 922,054-571-5600
일반음식점,깊은산속화로구이,경상북도 문경시 문경읍 새재로 863,054-571-7978
일반음식점,아지매순대,경상북도 문경시 문경읍 온천8길 14,054-571-4050
일반음식점,문경집,경상북도 문경시 신기동 67,054-553-1491
일반음식점,뉴맥시칸치킨,경상북도 문경시 신기1길 56 (신기동),054-552-2415
일반음식점,희락복어,"경상북도 문경시 반쟁이5길 22, 1층 (모전동)",054-555-3987
일반음식점,서울뚝배기,경상북도 문경시 영신로 20 (점촌동),054-555-8030
일반음식점,파트나인,경상북도 문경시 중앙4길 40 (점촌동),054-552-3373
일반음식점,써티엔포티,경상북도 문경시 중앙로 113-2 (점촌동),054-556-0258
일반음식점,희래등,경상북도 문경시 운동장로 62 (모전동),054-555-8611
일반음식점,동창생식당,경상북도 문경시 중앙로 87 (점촌동),054-554-2112
일반음식점,태능숯불갈비,경상북도 문경시 중앙9길 15 (점촌동),054-553-1809
일반음식점,빠라삐리,경상북도 문경시 점촌로 11-1 (점촌동),054-554-3560
일반음식점,옛남강,"경상북도 문경시 점촌1길 12, 1층 (점촌동)",054-554-1641
일반음식점,지코바치킨 문경1호점,경상북도 문경시 호서로 82-1 (흥덕동),054-552-9999
일반음식점,대한곱창,경상북도 문경시 중앙10길 9 (점촌동),054-552-2357
일반음식점,명가오리한식,경상북도 문경시 중앙6길 47-2 (점촌동),054-552-8816
일반음식점,한우리식당,"경상북도 문경시 중앙6길 26-4 (점촌동 151-3,12,15) (점촌동)",054-555-2795
일반음식점,장수순대,경상북도 문경시 점촌7길 4 (점촌동),054-555-0944
일반음식점,쿨휴게실,경상북도 문경시 흥덕로 18 (흥덕동),054-553-2297
일반음식점,황제한정식출장뷔페,경상북도 문경시 중앙4길 28-1 (점촌동),054-553-1008
일반음식점,황제가든,경상북도 문경시 중앙로 316 (흥덕동),054-553-9313
일반음식점,멕시카나치킨모전점,경상북도 문경시 중앙시장길 1-2 (점촌동),054-555-3985
일반음식점,한두레식당,경상북도 문경시 신흥시장길 23-6 (흥덕동),054-554-2121
일반음식점,재정식당,경상북도 문경시 중앙로 221-7 (흥덕동),054-553-5549
일반음식점,옛날보리밥집,경상북도 문경시 흥덕3길 8 (흥덕동),054-552-3812
일반음식점,새재왕족발,경상북도 문경시 모전로 80 (모전동),054-555-0950
일반음식점,호반쉼터,경상북도 문경시 동로면 금천로 1884,054-552-8707
일반음식점,할매매운탕,경상북도 문경시 마성면 진남1길 189,054-554-8080
일반음식점,동성가든식당,경상북도 문경시 마성면 동성길 116,054-571-9610
일반음식점,새재산버섯식당,경상북도 문경시 문경읍 온천2길 37,054-571-5705
일반음식점,선미식육식당,경상북도 문경시 마성면 마성길 96,054-571-3917
일반음식점,성우가든,경상북도 문경시 마성면 은성로 1636,054-572-1259
일반음식점,길림성,경상북도 문경시 농암면 청화로 1137,054-571-5455
일반음식점,만석지기 식당,경상북도 문경시 농암면 청화로 1119,054-571-5000
일반음식점,대정고기마을식당,경상북도 문경시 농암면 청화로 1137-1,054-571-9966
일반음식점,벌바위가든,경상북도 문경시 가은읍 용추길 80,054-571-5691
일반음식점,용추식당,경상북도 문경시 가은읍 용추길 17-14,054-571-2110
일반음식점,가은한우식육식당,경상북도 문경시 가은읍 대야로 2466,054-571-0345
일반음식점,구들장화로구이,경상북도 문경시 반쟁이3길 8 (모전동),054-555-0235
일반음식점,다미보쌈,경상북도 문경시 매봉2길 19-2 (모전동),054-556-8883
일반음식점,며느리수정불판생삼겹,경상북도 문경시 매봉2길 15-2 (모전동),054-553-9471
일반음식점,해운대야식,경상북도 문경시 당교로 205 (모전동),054-555-8151
일반음식점,쌍계천송어장가든,경상북도 문경시 호계면 호계길 126,054-552-5060
일반음식점,산북손짜장,경상북도 문경시 산북면 금천로 559-1,054-553-5319
일반음식점,삼거리손짜장,경상북도 문경시 산북면 운달로 2,054-552-1198
일반음식점,산마루,경상북도 문경시 시청1길 24 (모전동),054-555-4956
일반음식점,새재진곰탕,경상북도 문경시 문경읍 온천8길 14,054-571-9980
일반음식점,"차박사얼큰이,닭발","경상북도 문경시 모전로 60 (모전동,,102)",054-555-9293
일반음식점,마당바위,경상북도 문경시 문경읍 새재로 898,054-571-6835
일반음식점,하나분식,경상북도 문경시 문경읍 새재로 458,054-571-7898
일반음식점,부자집,경상북도 문경시 중앙2길 22 (점촌동),054-553-7739
일반음식점,임꺽정가든,경상북도 문경시 문경읍 새재로 870,054-572-0027
일반음식점,금강산가든,"경상북도 문경시 문경읍 온천1길 7, 1층",054-571-7200
일반음식점,별천가든,경상북도 문경시 문경읍 온천8길 32,054-571-4789
일반음식점,원조약돌가든,경상북도 문경시 문경읍 여우목로 21,054-572-2550
일반음식점,시골손두부,경상북도 문경시 문경읍 온천1길 6,054-572-2600
일반음식점,합동식육식당,경상북도 문경시 신기3길 7 (신기동),054-552-1165
일반음식점,만나식당,경상북도 문경시 중앙로 60 (점촌동),054-552-2384
일반음식점,장충동왕족발,경상북도 문경시 남산로 6 (점촌동),054-552-6700
일반음식점,새동아가든,경상북도 문경시 점촌로 6 (점촌동),054-553-1135
일반음식점,복이순대,경상북도 문경시 중앙1길 12 (점촌동),054-000-0000
일반음식점,국시도령 수지비낭자,경상북도 문경시 중앙1길 5 (점촌동),054-556-8989
일반음식점,닭이봉 五!味 닭갈비,경상북도 문경시 당교로 195 (모전동),054-556-8055
일반음식점,웰빙민속주막식당,경상북도 문경시 중앙로 87 (점촌동),054-553-7646
일반음식점,문경중앙의원구내식당,경상북도 문경시 중앙로 118 (점촌동),054-555-2011
일반음식점,훈이네양념통닭,경상북도 문경시 점촌5길 48 (점촌동),054-552-2677
일반음식점,청수,경상북도 문경시 문경읍 새재1길 50,054-555-3447
일반음식점,천주원,경상북도 문경시 중앙8길 19 (점촌동),054-555-2536
일반음식점,밥이보약,경상북도 문경시 호서로 26-1 (점촌동),054-555-8294
일반음식점,솥뚜껑구이점,경상북도 문경시 점촌1길 30 (점촌동),054-555-4388
일반음식점,점촌야식,경상북도 문경시 중앙6길 44 (점촌동),054-555-8853
일반음식점,촌가,경상북도 문경시 호서로 43 (점촌동),054-555-5855
일반음식점,부산삼계탕,경상북도 문경시 점촌1길 38 (점촌동),054-555-1163
일반음식점,왕칼국수보쌈,"경상북도 문경시 새동네2길 15, 1층 (모전동)",054-555-6387
일반음식점,풍정식당,경상북도 문경시 점촌1길 33 (점촌동),054-553-2511
일반음식점,뼈해장국전문,경상북도 문경시 운동장로 51 (모전동),054-555-1006
일반음식점,청학골,경상북도 문경시 중앙로 237 (흥덕동),054-554-1988
일반음식점,동신식육식당,경상북도 문경시 신흥3길 17-1 (흥덕동),054-552-0352
일반음식점,태극야식,경상북도 문경시 중신기1길 1 (모전동),054-555-1509
일반음식점,동화분식,경상북도 문경시 호서로 122-2 (흥덕동),054-555-5264
일반음식점,진미반점,"경상북도 문경시 중앙로 221-2, 1층 (흥덕동)",054-552-2477
일반음식점,찬미,경상북도 문경시 시청1길 31 (모전동),054-552-1778
일반음식점,가마솥왕순대,경상북도 문경시 신흥시장길 19 (흥덕동),054-556-1588
일반음식점,한아름분식,"경상북도 문경시 신흥시장길 19, 나동 109호 (흥덕동,신흥시장상가)",054-555-0795
일반음식점,에디슨치킨흥덕점,"경상북도 문경시 흥덕로 19 (흥덕동,바동 1층 102호)",054-556-9992
일반음식점,신동아식당,경상북도 문경시 신흥시장길 19 (흥덕동),054-556-0644
일반음식점,뼈랑생선이랑,경상북도 문경시 신흥시장길 26 (흥덕동),054-555-1136
일반음식점,강호동치킨육칠팔,경상북도 문경시 매봉2길 23-12 (모전동),054-556-1424
일반음식점,진남매운탕,경상북도 문경시 마성면 진남1길 210,054-552-7777
일반음식점,영남매운탕,경상북도 문경시 마성면 진남1길 185,054-552-9868
일반음식점,동인동 양푼이 찜갈비,경상북도 문경시 매봉1길 5 (모전동),054-555-0560
일반음식점,강가포근한집,경상북도 문경시 마성면 하내1길 34-18,054-572-0025
일반음식점,삼척집,경상북도 문경시 마성면 남호7길 35,054-571-1636
일반음식점,대구식육식당,경상북도 문경시 농암면 농암길 43-1,054-572-3221
일반음식점,속리식육식당,경상북도 문경시 농암면 청암2길 11,054-571-3339
일반음식점,현대식당,경상북도 문경시 가은읍 대야로 2474-1,054-571-6300
일반음식점,희양식당,경상북도 문경시 가은읍 가은3길 18-1,054-571-6740
일반음식점,민지송어장,경상북도 문경시 가은읍 민지길 68-15,054-571-3106
일반음식점,가은양어장가든,경상북도 문경시 가은읍 도리실길 64-9,054-571-7364
일반음식점,대야산가든,경상북도 문경시 가은읍 용추길 84,054-571-7698
일반음식점,둔덕산가든,경상북도 문경시 가은읍 대야로 1400-3,054-571-3935
일반음식점,유가네탕,경상북도 문경시 산양면 불암2길 33-4,054-552-6681
일반음식점,동아리캠퍼스,경상북도 문경시 호계면 대학길 160,054-552-8134
일반음식점,금용골,경상북도 문경시 산북면 김용길 288,054-553-5600
일반음식점,상주식육식당,경상북도 문경시 문경읍 문희로 13,054-571-5010
일반음식점,마성의 떡뽁이,경상북도 문경시 당교로 188 (모전동),054-552-0700
일반음식점,철이네뒷고기,경상북도 문경시 매봉2길 24 (모전동),054-555-0496
일반음식점,상황황제오리,경상북도 문경시 문경읍 청운로 52,054-571-0379
일반음식점,청운주막,경상북도 문경시 문경읍 청운로 40,054-571-3750
일반음식점,해물마을,경상북도 문경시 문경읍 온천2길 35,054-000-0000
일반음식점,동원식당,경상북도 문경시 문경읍 청운로 51,054-571-3844
일반음식점,새재이화정가든,"경상북도 문경시 문경읍 온천5길 2-1, 1층",054-571-0045
일반음식점,모란면옥,경상북도 문경시 매봉로 68 (모전동),054-555-0808
일반음식점,회랑장어랑,경상북도 문경시 남부4길 17 (모전동),054-553-4800
일반음식점,신장개업,경상북도 문경시 매봉2길 25-1 (모전동),054-552-8588
일반음식점,김태희청국장,경상북도 문경시 매봉2길 28 (모전동),054-555-2450
일반음식점,황토담,경상북도 문경시 문경읍 온천2길 38-13,054-571-3974
일반음식점,에디슨치킨문경점,경상북도 문경시 문경읍 주흘로 36,054-571-0034
일반음식점,새재왕건식당,경상북도 문경시 문경읍 새재로 926,054-571-8857
일반음식점,소와나무,"경상북도 문경시 매봉로 46, 1층 (모전동)",054-554-6981
일반음식점,에디슨DHA치킨모전점,경상북도 문경시 새동네길 3 (모전동),054-554-9229
일반음식점,만복이 쭈꾸미 낙지볶음,경상북도 문경시 당교로 238 (모전동),054-555-9922
일반음식점,두메산골 문경새재식당,경상북도 문경시 문경읍 새재로 920,054-572-3966
일반음식점,광성식당,경상북도 문경시 문경읍 새재로 918,054-572-3466
일반음식점,새재석쇠구이,경상북도 문경시 문경읍 하리 332-15,054-572-0706
일반음식점,대성가든,경상북도 문경시 유곡불정로 76 (유곡동),054-000-0000
