연번,업소명,업종명,소재지,전화번호,비고
56,골드치킨족발,일반음식점,경상북도 영천시 신녕면 본관시장길 7,054-332-1080,영업
57,용궁식당,일반음식점,경상북도 영천시 북안면 운북로 2034,054-336-3301,영업
58,스타식당,일반음식점,경상북도 영천시 금완로 47 (완산동),054-334-4807,영업
59,별천지,일반음식점,경상북도 영천시 최무선로 54 (오수동),054-000-0000,주소지불분명
60,원조굴뚝배기전문,일반음식점,경상북도 영천시 동문길 131 (문외동),054-338-4402,영업
61,영양식육식당(영양숯불갈비),일반음식점,경상북도 영천시 시장로 43 (완산동),054-333-1588,영업
62,완산동 찌지미,일반음식점,경상북도 영천시 완산중앙2길 21 (완산동),054-338-0828,영업
63,신원통닭,일반음식점,경상북도 영천시 신녕면 본관시장길 7,054-332-0553,영업
64,중앙식당(식육점),일반음식점,경상북도 영천시 화산면 장수로 917-3,054-335-5449,영업
65,도남식당,일반음식점,경상북도 영천시 봉동1길 29-47 (봉동),054-333-2324,영업
66,고경식육점,일반음식점,경상북도 영천시 시장4길 52 (완산동),054-333-8188,영업
67,새영주기사식당,일반음식점,경상북도 영천시 운동장로 3 (교촌동),054-333-5011,영업
68,순복이보양탕,일반음식점,경상북도 영천시 금완로 53 (완산동),054-331-4504,영업
69,무지개식당,일반음식점,경상북도 영천시 호국로 100-4 1층,054-336-2002,영업
70,대장안생오리(영천점),일반음식점,경상북도 영천시 금호읍 금호로 306,054-335-5292,주소지불분명
71,팔공식당,일반음식점,경상북도 영천시 신녕면 장수로 1753,054-338-0997,영업
72,한성식당,일반음식점,경상북도 영천시 신녕면 완전리 851-11,054-332-8490,영업
73,낙원루(낙원반점),일반음식점,경상북도 영천시 임고면 운주로 6,054-335-0343,주소지불분명
74,새대창식당,일반음식점,경상북도 영천시,054-335-4046,주소지불분명
75,월성식당,일반음식점,경상북도 영천시,054-000-0000,주소지불분명
76,창성식당,일반음식점,경상북도 영천시 고경면 용담로 1379-11,054-336-3750,영업
77,까투리식당(고경식당),일반음식점,경상북도 영천시 고경면 호국로 1068-3,054-336-8809,영업
78,팜스,일반음식점,경상북도 영천시 시장로 48-1 (완산동),054-334-3644,주소지불분명
79,오동통닭,일반음식점,"경상북도 영천시 문화새길 25 (야사동,(문화상가 B/2))",054-333-0058,영업
80,금강산 막썰어 횟집,일반음식점,경상북도 영천시 완산중앙3길 31-1 (완산동),054-335-8088,영업
81,청하식당(즉석 김밥국수 전문점),일반음식점,경상북도 영천시 천문로 201 (금노동),054-331-5890,영업
82,흥부네식당,일반음식점,경상북도 영천시 언하2길 16 (언하동),054-338-1337,영업
83,화신식당,일반음식점,경상북도 영천시,054-334-0803,주소지불분명
84,새삼거리식당,일반음식점,경상북도 영천시 신녕면 장수로 1688-1,054-333-2723,영업
85,새임고식육식당,일반음식점,경상북도 영천시,054-335-7291,주소지불분명
86,일미식육식당,일반음식점,경상북도 영천시 임고면 포은로 448,054-335-7019,영업
87,용궁식당,일반음식점,경상북도 영천시 고경면 용담로 1373-6,054-332-3695,주소지불분명
88,푸짐한집,일반음식점,경상북도 영천시 완산중앙2길 12 (완산동),054-333-5566,영업
89,꼬꼬랜드,일반음식점,경상북도 영천시 완산중앙3길 4-1 (완산동),054-334-6824,영업
90,느티나무식당,일반음식점,경상북도 영천시 신녕면 본관시장길 3 (신녕공설시장상설점포 B동 7호 8호),054-332-0987,영업
91,매일분식,일반음식점,경상북도 영천시,054-332-6158,주소지불분명
92,대곡가든,일반음식점,경상북도 영천시,054-332-2070,주소지불분명
93,수덕웨딩뷔페식당,일반음식점,경상북도 영천시 완산로 68 (완산동),054-333-7100,영업
94,윤아식당,일반음식점,경상북도 영천시 역전로 22 (완산동),054-338-3186,영업
95,마츠컴퍼니,일반음식점,경상북도 영천시 삼산길 10-6 (문외동),054-335-1237,영업
96,북경만두,일반음식점,경상북도 영천시 완산중앙2길 13 (완산동),054-332-4359,영업
97,새동남식당,일반음식점,경상북도 영천시 운동장로 36 (교촌동),054-335-0465,영업
98,바다촌,일반음식점,경상북도 영천시 시장로 39 (완산동 1058-13),054-331-3035,주소지불분명
99,가야식당,일반음식점,경상북도 영천시 금호읍 금호로 79,054-338-9949,영업
100,새벽시장(신마산식당),일반음식점,경상북도 영천시 신녕면 장수로 1704,054-338-0025,영업
101,본촌초원식당,일반음식점,경상북도 영천시 하이브리드로 650-8 (본촌동),054-335-8174,영업
102,맥시칸양념통닭,일반음식점,"경상북도 영천시 미륵4길 7, 107,108호 (망정동, 황금상가 )",054-334-8811,영업
103,새부산식당,일반음식점,경상북도 영천시 한방로 42 (도동),054-332-8894,영업
104,산수기사식당,일반음식점,경상북도 영천시 한방로 157 (작산동),054-335-9033,영업
105,조양기사식당,일반음식점,경상북도 영천시 금호읍 대경로 1260,054-334-7254,주소지불분명
106,새신녕식육식당,일반음식점,경상북도 영천시 신녕면 장수로 1704,054-334-8990,영업
107,일견회식당(일견식당),일반음식점,경상북도 영천시 자양면 포은로 2141,054-338-8185,영업
108,맛나정가든,일반음식점,경상북도 영천시 임고면 삼매용천길 4,054-334-2266,영업
109,미진짜장,일반음식점,경상북도 영천시 북안면 운북로 2029,054-333-1188,영업
110,정원식당,일반음식점,경상북도 영천시,054-333-3131,영업
111,삼산구이,일반음식점,경상북도 영천시 완산중앙1길 5 (완산동),054-332-3650,영업
112,편의방,일반음식점,경상북도 영천시 영천고1길 6 (야사동),054-334-3750,주소지불분명
113,동영식육식당,일반음식점,경상북도 영천시 충효로 146 (야사동),054-333-1195,영업
114,조선해장국,일반음식점,경상북도 영천시 호국로 46-9 (야사동),054-338-3993,영업
115,미소행복 식당,일반음식점,경상북도 영천시 구읍3길 58 (완산동),054-334-1088,영업
116,밀양식당,일반음식점,경상북도 영천시 완산6길 19-6 (완산동),054-333-8287,영업
117,한우분식,일반음식점,경상북도 영천시,054-332-8646,주소지불분명
118,오늘통닭 1977,일반음식점,경상북도 영천시 완산중앙3길 24-1 (완산동),054-338-8886,주소지불분명
119,보리수식당,일반음식점,경상북도 영천시 완산중앙9길 25 (완산동),054-337-8955,영업
120,영천왕족발,일반음식점,경상북도 영천시 호국로 85 (야사동),054-331-7723,영업
121,창하레스카페,일반음식점,경상북도 영천시 완산중앙3길 24-1 (완산동),054-333-2772,영업
122,오수식당,일반음식점,경상북도 영천시 오수2길 39,054-334-3963,영업
123,멕시칸양념통닭금호점,일반음식점,경상북도 영천시 금호읍 금호로 150,054-334-1686,영업
124,화산반점,일반음식점,경상북도 영천시 화산면 장수로 919,054-336-6996,영업
125,산나루식당,일반음식점,경상북도 영천시 자양면 포은로 1937,054-332-8068,주소지불분명
126,포석정,일반음식점,경상북도 영천시 임고면 포은로 1067-22,054-337-7507,영업
127,란식당,일반음식점,경상북도 영천시 대창면 금창로 691,054-000-0000,영업
128,대길식당,일반음식점,경상북도 영천시 언하2길 15 (언하동),054-336-0106,영업
129,바로커양념치킨체인점,일반음식점,경상북도 영천시 시장로 16 (금노동),054-331-4418,영업
130,천리향(천리향샤브샤브),일반음식점,경상북도 영천시 최무선로 52 (오수동),054-000-0000,영업
131,덕성분식,일반음식점,경상북도 영천시 강변로 50-7 (금노동 587-2),054-331-7748,주소지불분명
132,까치포장마차,일반음식점,경상북도 영천시 상록2길 41 (야사동),054-331-1604,영업
133,소문각,일반음식점,경상북도 영천시 호국로 52 (야사동),054-332-6777,영업
134,산정식당,일반음식점,경상북도 영천시 완산중앙1길 10 (완산동),054-333-2240,영업
135,정금식당,일반음식점,경상북도 영천시 장수로 23 (화룡동),054-333-0205,영업
136,금호식당,일반음식점,경상북도 영천시 역전로 11 (완산동),054-334-6630,영업
137,금호할매추어탕,일반음식점,경상북도 영천시 금호읍 금호로 47,054-331-4534,영업
138,중앙반점,일반음식점,경상북도 영천시 금호읍 금호로 152-1,054-334-0480,영업
139,성림식당,일반음식점,경상북도 영천시 청통면 치일리 405-18,054-335-3104,영업
140,평창동 돼지국밥,일반음식점,경상북도 영천시 화남면 천문로 1628,054-336-6088,영업
141,영보 손짜장,일반음식점,경상북도 영천시 임고면 포은로 502,054-336-5018,영업
142,강변참숯불갈비,일반음식점,경상북도 영천시 임고면 포은로 841-2,054-331-9050,영업
143,홍진한정식,일반음식점,경상북도 영천시 고경면 청정길 17,054-335-6333,영업
144,희성식당,일반음식점,경상북도 영천시 충효로 72 (문외동),054-334-0487,주소지불분명
145,황해식당,일반음식점,경상북도 영천시 동문1길 33-2 (문내동),054-334-3358,주소지불분명
146,영남숯불막창,일반음식점,경상북도 영천시 담안2길 5-4 (금노동),054-334-6724,주소지불분명
147,대우구이,일반음식점,경상북도 영천시 시장로 16 (금노동),054-331-1880,주소지불분명
148,쇼킹레스호프,일반음식점,"경상북도 영천시 천문로 287 (금노동,,-7)",054-332-1961,영업
149,꿀꿀이식당,일반음식점,경상북도 영천시 최무선로 204 (성내동),054-333-9848,영업
150,신라삼계탕,일반음식점,경상북도 영천시 시청남길 24 (문외동),054-332-2563,영업
151,뽀빠이밥집,일반음식점,경상북도 영천시,054-000-0000,영업
152,참맛식당,일반음식점,경상북도 영천시 구읍3길 58 (완산동),054-333-8864,영업
153,제갈양념통닭,일반음식점,경상북도 영천시 상록2길 53 (야사동),054-331-1633,영업
154,푸른식당,일반음식점,경상북도 영천시 완산중앙3길 4 (완산동),054-331-2677,2030분식
155,삼송꾼만두야사점,일반음식점,경상북도 영천시 충효로 123-1 (야사동),054-337-8806,영업
156,왕만두분식,일반음식점,경상북도 영천시 호국로 38 (야사동),054-333-2537,주소지불분명
157,제일식육식당,일반음식점,"경상북도 영천시 완산로 20, 101동 101호 (완산동, 윤창타운 )",054-334-4440,영업
158,정국수,일반음식점,경상북도 영천시 옛군청1길 19 (창구동),054-335-4442,영업
159,둥지식당,일반음식점,경상북도 영천시 백신애길 41 (창구동),054-333-0530,영업
160,명동구이,일반음식점,경상북도 영천시 충효로 81 (문외동),054-331-6092,주소지불분명
161,창구굴국밥전문점,일반음식점,경상북도 영천시 최무선로 294 (창구동),054-331-5659,영업
162,명동칼국수,일반음식점,경상북도 영천시 강남길 46 (완산동),054-332-4772,영업
163,일출복어찜마을,일반음식점,경상북도 영천시 시청동길 39-1 (문외동),054-333-7711,영업
164,서울불고기,일반음식점,경상북도 영천시 시장5길 7 (완산동),054-334-1111,영업
165,빅보이치킨분식,일반음식점,"경상북도 영천시 모란3길 3 (야사동,,-53)",050-4570-9679,항아리찜닭
166,해물소주타운,일반음식점,경상북도 영천시 금호읍 금호로 154-1,054-333-9500,영업
167,땅땅치킨금호점,일반음식점,경상북도 영천시 금호읍 금호로 93,054-335-0092,영업
168,갓방못대나무집,일반음식점,경상북도 영천시 청통면 대동로 362,054-335-6760,영업
169,갑령기사가든,일반음식점,경상북도 영천시 신녕면 장수로 2383-5,054-331-4657,주소지불분명
170,맛나식당휴게소,일반음식점,경상북도 영천시 신녕면 장수로 2048,054-335-9333,영업
171,팔옥회식당,일반음식점,경상북도 영천시 화북면 화북길 86,054-332-6022,영업
172,대내실식당,일반음식점,경상북도 영천시 화남면 신선로 163 (307-3 308),054-335-9994,영업
173,봉산식당,일반음식점,"경상북도 영천시 화남면 천문로 1631 (183-1, 184-1)",054-337-8023,영업
174,영천댐관광농원,일반음식점,경상북도 영천시 임고면 신방로 79,054-337-2990,영업
175,논골식당,일반음식점,경상북도 영천시 임고면 포은로 746,054-337-1030,영업
176,부성식당,일반음식점,경상북도 영천시 고경면 호국로 675,054-335-5127,부성기사님식당
177,대성식당,일반음식점,경상북도 영천시 고경면 호국로 1080,054-336-6151,영업
178,하루,일반음식점,경상북도 영천시 상록2길 54 (야사동),054-338-3276,영업
179,금호 명지식당,일반음식점,경상북도 영천시 완산중앙3길 10 (완산동),054-331-3248,영업
180,해동각,일반음식점,경상북도 영천시 시장2길 34 (완산동),050-4570-6781,영업
181,해물촌,일반음식점,경상북도 영천시 옛군청1길 20 (창구동),050-7465-2961,영업
182,홍천뚝배기영천점,일반음식점,경상북도 영천시 옛군청1길 20 (창구동),050-4570-9236,영업
183,축협휴게실,일반음식점,경상북도 영천시 호국로 17 (문외동),054-332-0666,주소지불분명
184,지성이해물찜,일반음식점,경상북도 영천시 청산1길 12 (문외동),050-4570-8280,영업
185,맛나구이,일반음식점,경상북도 영천시,054-333-9694,영업
186,미각루,일반음식점,경상북도 영천시 청산1길 6 (문외동),050-4570-4616,영업
187,맘스터치치킨,일반음식점,경상북도 영천시 모란2길 22-6 (야사동),054-333-1197,영업
188,아성반점,일반음식점,경상북도 영천시 호국로 26 (야사동),054-332-7494,주소지불분명
189,라라코스트,일반음식점,경상북도 영천시 시청로 12 (문외동),054-334-9228,주소지불분명
190,노랑통닭 영천점,일반음식점,경상북도 영천시 충효로 72-2 (문외동),054-335-7997,영업
191,장수보양탕,일반음식점,경상북도 영천시 무궁화길 38 (문외동),054-333-8300,영업
192,형제반점,일반음식점,경상북도 영천시 완산중앙2길 4 (완산동),054-336-1622,영업
193,김해구이,일반음식점,경상북도 영천시 완산중앙9길 14 (완산동),0504-335-3001,영업
194,영천할매추어탕,일반음식점,경상북도 영천시 금완로 86 (완산동),054-331-6014,영업
195,모드니카페,일반음식점,경상북도 영천시 천문로 316 (창구동),054-332-5639,영업
196,때때로막창,일반음식점,경상북도 영천시 충효로 125 (야사동),054-337-6003,영업
197,미니분식,일반음식점,경상북도 영천시 시장1길 8 (완산동),054-000-0000,주소지불분명
198,원조식당(원조숯불갈비),일반음식점,경상북도 영천시 구읍4길 19 (완산동),054-334-8133,영업
199,하루방양분식,일반음식점,경상북도 영천시 천문로 333 (창구동),054-331-7916,주소지불분명
200,임가네해물촌,일반음식점,경상북도 영천시 시청남길 20 (문외동),054-333-3381,영업
201,택산 돈식당,일반음식점,경상북도 영천시 무궁화길 30 (문외동),054-337-2779,영업
202,네네치킨야사점,일반음식점,경상북도 영천시 망정로 60 (망정동),050-4570-0374,영업
203,춘천식당,일반음식점,"경상북도 영천시 문화새길 25 (야사동,(문화상가 C/1))",054-332-7593,영업
204,삼포옛날통닭,일반음식점,경상북도 영천시 충효로 79 (문외동),054-337-9555,영업
205,신일식당,일반음식점,경상북도 영천시 금호읍 금호로 166,054-334-6292,영업
206,우리식육식당,일반음식점,경상북도 영천시 금호읍 금호로 166,054-337-1744,영업
207,두꺼비식당,일반음식점,경상북도 영천시 청통면 청통로 894-36,054-335-1513,영업
208,팔공휴게소식당,일반음식점,경상북도 영천시 신녕면 장수로 1761,054-332-8186,주소지불분명
209,부산식당(보신탕),일반음식점,"경상북도 영천시 신녕면 장수로 1710 (,897-4,918-1,-8)",054-338-0783,영업
210,5초실내포차,일반음식점,경상북도 영천시 신녕면 화성중앙길 8,054-337-5155,영업
211,덕암식육식당,일반음식점,경상북도 영천시 화산면 장수로 1183,054-336-9198,영업
212,은해사할매식당,일반음식점,경상북도 영천시 화남면 천문로 1601-9,054-334-8097,주소지불분명
213,장모식육식당,일반음식점,경상북도 영천시 화남면 천문로 1606-1,054-337-5945,영업
214,은하반점,일반음식점,경상북도 영천시 화남면 천문로 1602-1 ,054-337-0514,주소지불분명
215,고향분식,일반음식점,경상북도 영천시 화남면 천문로 1629,054-337-0906,고향식당
216,가보자식당,일반음식점,경상북도 영천시 화남면 천문로 1624-1,054-338-4448,영업
217,뚝배기식당,일반음식점,경상북도 영천시 임고면 포은로 450,054-335-8548,영업
218,선미횟집,일반음식점,경상북도 영천시,054-334-7543,영업
219,빅보이 치킨,일반음식점,경상북도 영천시 고경면 호국로 377,054-335-2158,빅보이즈치킨
220,싱싱국밥마을,일반음식점,"경상북도 영천시 고경면 호국로 454 (,-3)",054-331-7300,싱싱돈육마을
221,왕궁손짜장,일반음식점,경상북도 영천시 북안면 대경로 2166-34,054-336-1516,영업
222,미향식당,일반음식점,경상북도 영천시 조양공원길 30-1 (창구동),054-334-7693,주소지불분명
223,처갓집양념통닭,일반음식점,경상북도 영천시 호국로 14-42 (야사동),054-334-9709,영업
224,청송삼계탕,일반음식점,경상북도 영천시 장수로 131 (화룡동),054-338-9030,영업
225,삼송꾼만두,일반음식점,경상북도 영천시 중앙동1길 12 (문외동),054-333-8806,영업
226,고향식당(DIEM HEN QUE HUONG),일반음식점,경상북도 영천시 충효로 122-1 (야사동),054-331-2948,영업
227,중국성,일반음식점,경상북도 영천시 상록2길 39 (야사동),054-334-8800,영업
228,파크레스토랑,일반음식점,경상북도 영천시 구읍1길 10 (완산동),054-333-2044,주소지불분명
229,길,일반음식점,경상북도 영천시 장수로 15-1 (화룡동),054-338-2221,길카페
230,골목식당,일반음식점,경상북도 영천시 문내3길 1-6 (문내동),054-333-5275,주소지불분명
231,선창회가든,일반음식점,"경상북도 영천시 충효로 72-3, 외 1필지 (충효로 72) (문외동)",054-333-6086,영업
232,청와대족발/보쌈,일반음식점,경상북도 영천시 상록1길 44 (야사동),054-336-1833,영업
233,일미한우숯불가든,일반음식점,"경상북도 영천시 호국로 229 (조교동,,-12)",054-333-5297,영업
234,이안에막걸리있다,일반음식점,경상북도 영천시 충효로 123-1 (야사동),054-331-7216,영업
235,주막민속식당,일반음식점,경상북도 영천시,054-334-5110,영업
236,남문식당,일반음식점,경상북도 영천시 조양공원길 26-5 (창구동),054-334-3905,영업
237,신흥춘해물짬뽕,일반음식점,경상북도 영천시 한방로 237 (작산동),054-337-9935,영업
238,황토오리마을,일반음식점,경상북도 영천시 삼산길 4 (문외동),054-338-3000,영업
239,횡성한우국밥,일반음식점,"경상북도 영천시 문화새길 25, C동 10호 (야사동, 문화아파트상가)",054-333-1644,영업
240,봉구비어(문외점),일반음식점,경상북도 영천시 시청남1길 12-13 (문외동),054-338-3326,영업
241,놀부보쌈,일반음식점,경상북도 영천시 시청남길 32 (문외동),054-337-0011,영업
242,제주초밥,일반음식점,경상북도 영천시 삼산길 10-5 (문외동),054-333-0709,제주회초밥
243,상주식당,일반음식점,경북 영천시 완산동 750-1,054-333-2570,영업
244,경산식당,일반음식점,경상북도 영천시 완산중앙2길 8 (완산동),054-331-1655,영업
245,똘이분식,일반음식점,경상북도 영천시 강변로 72 (금노동),054-332-7276,주소지불분명
246,맛자랑식당,일반음식점,경상북도 영천시 장수로 259 (서산동),054-331-2001,영업
247,양호분식,일반음식점,경상북도 영천시 천문로 362 (창구동),054-332-3561,영업
248,삼골농원식당,일반음식점,경상북도 영천시 삼밭골길 102 (야사동),054-331-5583,영업
249,명림당,일반음식점,경상북도 영천시 모란2길 21-12 (야사동),054-332-1003,영업
250,장수네,일반음식점,경상북도 영천시 장수로 52-3 (화룡동),054-333-6345,장수네 비빔밥이랑 국수랑
251,꽃돼지보쌈족발,일반음식점,경상북도 영천시 시청남1길 12-13 (문외동),050-4570-2661,영업
252,화이트 앤드 블루,일반음식점,경상북도 영천시 삼산길 10 (문외동),054-331-1273,영업
253,똘이네식당,일반음식점,경상북도 영천시 완산로 55 (완산동),054-337-0416,영업
254,까치복집,일반음식점,경상북도 영천시 문외2길 3 (문외동),054-333-0703,영업
255,강화밴뎅이전문점,일반음식점,경상북도 영천시 강변로 72 (금노동),054-333-8607,주소지불분명
256,조교칼국수,일반음식점,"경상북도 영천시 포은로 21, 주1동 (언하동)",054-333-5292,영업
257,장안식당 장안닭발치킨,일반음식점,경상북도 영천시 금호읍 금호로 172,054-335-3331,영업
258,행복한 식당,일반음식점,경상북도 영천시 금호읍 교대7길 8-1,054-336-7081,영업
259,전원숯불가든,일반음식점,경상북도 영천시 금호읍 원제1길 4,054-335-7829,영업
260,순찬식당,일반음식점,"경상북도 영천시 청통면 금송로 951-1 (,522-4)",054-335-1454,주소지불분명
261,고향식당,일반음식점,경상북도 영천시 청통면 청통로 118,054-337-4723,영업
262,새못뚝가든(못뚝식당),일반음식점,경상북도 영천시 청통면 사일로 140,054-332-1648,영업
263,풍년식당,일반음식점,경상북도 영천시 청통면 사일로 270,054-335-8371,영업
264,따뜻한밥집,일반음식점,경상북도 영천시 신녕면 장수로 1709-3,054-332-5466,영업
265,해남식당,일반음식점,경상북도 영천시 신녕면 치산효령로 580,054-334-1859,주소지불분명
266,부영숯불갈비,일반음식점,경상북도 영천시 신녕면 불바위길 6,054-336-9938,고향맛분식
267,보배식당,일반음식점,경상북도 영천시 신녕면 장수로 1703-1,054-336-0101,영업
268,새초원식육식당,일반음식점,경상북도 영천시 화산면 유성길 5,054-335-5817,초원숯불갈비
269,해성식당,일반음식점,경상북도 영천시 화산면 장수로 934,054-336-5869,영업
270,화북식당,일반음식점,경북 영천시 화북면 자천9길 28,054-338-5569,영업
271,대천레스토랑,일반음식점,경상북도 영천시 화남면 대천1길 40,054-335-3786,영업
272,만득이 해장국,일반음식점,경상북도 영천시 화남면 천문로 1598,054-337-5522,영업
273,평천휴게식당,일반음식점,경상북도 영천시 임고면 포은로 745-6,054-335-6454,주소지불분명
274,태은한우촌,일반음식점,경상북도 영천시 대창면 금창로 606,054-335-4296,주소지불분명
275,고경수산가든,일반음식점,경상북도 영천시 고경면 용담로 2016-9,054-334-9158,영업
276,미성식당,일반음식점,경상북도 영천시 고경면 호국로 1433-38,054-331-4323,미성칼국수
277,다래분식점,일반음식점,경상북도 영천시 북안면 운북로 2035,054-336-1267,다래분식
278,신천식당,일반음식점,경상북도 영천시 북안면 임포역길 97,054-333-6841,신천다방
279,장원한우 암소 숯불가든,일반음식점,경상북도 영천시 청통면 아랫죽정길 3-1,054-335-6960,장원한우숯불
280,옛길식당,일반음식점,경상북도 영천시 천문로 434-31 (오미동),054-331-7603,주소지불분명
281,산성식당,일반음식점,"경상북도 영천시 시장4길 52, 영천공설시장(2지구 11~20호) (완산동)",054-331-3290,영업
282,맛좋은횟집,일반음식점,경상북도 영천시 충효로 156-1 (야사동),054-332-3340,영업
283,영천염소탕,일반음식점,경상북도 영천시 시청남1길 12-4 (문외동),054-000-0000,주소지불분명
284,영주명가,일반음식점,경상북도 영천시 상록2길 33 (야사동),054-336-0630,영업
285,선미식당,일반음식점,경상북도 영천시,054-334-4366,주소지불분명
286,찜질방1 지하분식식당,일반음식점,경상북도 영천시 강남길 48-1 (완산동),054-331-6788,프린스 사우나 찜질방 지하 식당
287,명성가든,일반음식점,경상북도 영천시 하이브리드로 771 (본촌동),054-335-7828,주소지불분명
288,진우식육식당,일반음식점,"경상북도 영천시 야사4길 37 (야사동,(동부상가 다동3호))",054-332-5365,진우숯불가든
289,림유,일반음식점,경상북도 영천시 금완로 61 (완산동),054-331-5289,주소지불분명
290,대궐식당,일반음식점,경상북도 영천시 조흔달길 15 (조교동),054-332-8777,영업
291,보배집밥,일반음식점,경상북도 영천시 무궁화길 56 (문외동),054-332-6618,영업
292,천하제일식당,일반음식점,경상북도 영천시 야사시장길 13-16 (야사동),054-331-1177,영업
