업종명,업소명,소재지,업소소재지(지번),소재지전화,데이터기준일자
이용업,문화,경상북도 의성군 금성면 탑리1길 6,경상북도 의성군 금성면 대리리 16번지 1호   ,054-832-8411,2019-01-31
이용업,대왕,경상북도 의성군 단촌면 고운길 7,경상북도 의성군 단촌면 하화리 1126번지 3호   ,,2019-01-31
이용업,창원,<REPLACE>,경상북도 의성군 금성면 대리리 63번지   ,054-833-0505,2019-01-31
이용업,대성,경상북도 의성군 단촌면 고운길 14,경상북도 의성군 단촌면 하화리 1148번지 14호   ,,2019-01-31
이용업,대구,<REPLACE>,경상북도 의성군 봉양면 화전리 91번지   ,,2019-01-31
이용업,중리,경상북도 의성군 의성읍 동서2길 58,경상북도 의성군 의성읍 중리리 758번지 3호   ,,2019-01-31
이용업,세촌,경상북도 의성군 단촌면 신기길 24,경상북도 의성군 단촌면 세촌리 807번지 3호   ,,2019-01-31
이용업,사곡,경상북도 의성군 사곡면 의성사곡로 969,경상북도 의성군 사곡면 양지리 564번지 1호   ,054-832-1198,2019-01-31
이용업,탑산,<REPLACE>,경상북도 의성군 봉양면 구산리 1635번지 1호   ,054-834-5030,2019-01-31
이용업,서울,경상북도 의성군 금성면 탑리길 32-1,경상북도 의성군 금성면 대리리 19번지 12호   ,,2019-01-31
이용업,대왕이용소,경상북도 의성군 안평면 봉호로 912,경상북도 의성군 안평면 박곡리 948번지 16호   ,054-834-6656,2019-01-31
이용업,보건이용소,경상북도 의성군 금성면 탑리2길 26-1,경상북도 의성군 금성면 대리리 3번지 2호   ,054-833-0669,2019-01-31
이용업,대영,경상북도 의성군 의성읍 중앙길 56-6,경상북도 의성군 의성읍 도동리 890번지   ,054-833-1412,2019-01-31
이용업,남부이용소,경상북도 의성군 의성읍 문소1길 41,경상북도 의성군 의성읍 도동리 661번지 5호   ,054-832-7645,2019-01-31
이용업,의성이용소,경상북도 의성군 의성읍 홍술로 129,경상북도 의성군 의성읍 후죽리 859번지 92호   ,054-834-0215,2019-01-31
이용업,양지이용소,경상북도 의성군 가음면 금성현서로 581-1,경상북도 의성군 가음면 양지리 323번지 1호   ,054-833-9062,2019-01-31
이용업,명랑,경상북도 의성군 의성읍 군청길 79,경상북도 의성군 의성읍 상리리 674번지 5호   ,054-832-6531,2019-01-31
이용업,시대이용소,<REPLACE>,경상북도 의성군 단북면 노연리 542번지 3호   ,,2019-01-31
이용업,성인이용소,경상북도 의성군 다인면 서릉길 58,경상북도 의성군 다인면 서릉리 110번지 7호   ,,2019-01-31
이용업,의성탕이발소,경상북도 의성군 의성읍 군청길 69,경상북도 의성군 의성읍 중리리 749번지 10호   ,,2019-01-31
이용업,안평이용소,경상북도 의성군 안평면 봉호로 943,경상북도 의성군 안평면 박곡리 902번지 7호   ,054-834-0999,2019-01-31
이용업,봉농이용원,경상북도 의성군 봉양면 도리원1길 57,경상북도 의성군 봉양면 화전리 135번지 3호,,2019-01-31
미용업,개미미용실,경상북도 의성군 의성읍 문소3길 91,경상북도 의성군 의성읍 후죽리 827번지 1호   ,054-832-0494,2019-01-31
미용업,미모헤어,경상북도 의성군 의성읍 군청길 70,경상북도 의성군 의성읍 중리리 768번지 4호   ,054-832-0457,2019-01-31
미용업,나회헤어샵,<REPLACE>,경상북도 의성군 의성읍 도동리 984번지 4호   ,054-834-1227,2019-01-31
미용업,정화미용실,경상북도 의성군 비안면 강변길 95,경상북도 의성군 비안면 이두리 295번지 5호   ,054-861-6941,2019-01-31
미용업,아담,경상북도 의성군 의성읍 문소3길 95-2,경상북도 의성군 의성읍 후죽리 474번지 5호   ,054-832-0459,2019-01-31
미용업,협동,경상북도 의성군 의성읍 도동도서길 21,경상북도 의성군 의성읍 도동리 949번지 9호   ,054-832-3559,2019-01-31
미용업,새마을,경상북도 의성군 의성읍 문소2길 20,경상북도 의성군 의성읍 도동리 876번지 11호   ,054-832-0710,2019-01-31
미용업,장은,<REPLACE>,경상북도 의성군 의성읍 후죽리 661번지   ,054-834-2595,2019-01-31
미용업,여심,<REPLACE>,경상북도 의성군 의성읍 후죽리 630번지 68호   ,054-834-2972,2019-01-31
미용업,공주,경상북도 의성군 단촌면 고운길 14,경상북도 의성군 단촌면 하화리 1148번지 14호   ,054-833-2076,2019-01-31
미용업,정화미용실,경상북도 의성군 봉양면 도리원1길 38,경상북도 의성군 봉양면 화전리 110번지   ,054-832-1952,2019-01-31
미용업,동궁미용실,경상북도 의성군 봉양면 도리원2길 3,경상북도 의성군 봉양면 화전리 107번지 4호   ,054-832-2049,2019-01-31
미용업,부산,경상북도 의성군 안계면 안계길 127-1,경상북도 의성군 안계면 용기리 839번지 2호   ,054-861-1490,2019-01-31
미용업,진주,경상북도 의성군 안계면 안계길 162-7,경상북도 의성군 안계면 용기리 850번지 26호   ,054-861-3447,2019-01-31
미용업,정화헤어샵,경상북도 의성군 안계면 안계길 155-1,경상북도 의성군 안계면 용기리 849번지 33호   ,054-861-0477,2019-01-31
미용업,신광,<REPLACE>,경상북도 의성군 안평면 박곡리 851번지   ,054-832-5336,2019-01-31
미용업,박세민헤어샵,경상북도 의성군 금성면 탑리길 32,경상북도 의성군 금성면 대리리 19번지 13호   ,054-834-0570,2019-01-31
미용업,가야,경상북도 의성군 비안면 강변길 98,경상북도 의성군 비안면 이두리 298번지 8호   ,054-861-7079,2019-01-31
미용업,서울,<REPLACE>,경상북도 의성군 단밀면 주선리 559번지 3호   ,054-862-0514,2019-01-31
미용업,정,<REPLACE>,경상북도 의성군 다인면 서릉리 154번지   ,054-861-4008,2019-01-31
미용업,부산,<REPLACE>,경상북도 의성군 금성면 대리리 9번지   ,054-834-0613,2019-01-31
미용업,현대,<REPLACE>,경상북도 의성군 안계면 용기리 851번지   ,054-861-1326,2019-01-31
미용업,수정,경상북도 의성군 의성읍 문소2길 27,경상북도 의성군 의성읍 중리리 886번지 2호   ,054-833-8253,2019-01-31
미용업,남이,경상북도 의성군 의성읍 문소1길 89,경상북도 의성군 의성읍 도동리 868번지 2호   ,054-832-3242,2019-01-31
미용업,에덴,경상북도 의성군 의성읍 문소1길 74,경상북도 의성군 의성읍 도동리 764번지 4호   ,054-832-1189,2019-01-31
미용업,현,<REPLACE>,경상북도 의성군 금성면 대리리 2번지 6호   ,054-833-7358,2019-01-31
미용업,단밀미용실,경상북도 의성군 단밀면 주속길 57,경상북도 의성군 단밀면 속암리 161번지 8호   ,054-862-0986,2019-01-31
미용업,상주,<REPLACE>,경상북도 의성군 안계면 용기리 827번지   ,054-861-0448,2019-01-31
미용업,춘추,경상북도 의성군 의성읍 문소3길 68,경상북도 의성군 의성읍 후죽리 526번지 1호   ,054-833-1952,2019-01-31
미용업,금잔디,경상북도 의성군 금성면 탑리길 20-1,경상북도 의성군 금성면 대리리 18번지 11호   ,054-832-7960,2019-01-31
미용업,보화,경상북도 의성군 안계면 안계길 193,경상북도 의성군 안계면 용기리 986번지 9호,054-861-7678,2019-01-31
미용업,황실미용실,경상북도 의성군 안계면 안계시장길 14-19,경상북도 의성군 안계면 용기리 467번지 1호   ,054-861-7420,2019-01-31
미용업,다인,<REPLACE>,경상북도 의성군 다인면 서릉리 150번지 10호   ,054-861-1723,2019-01-31
미용업,무지개,<REPLACE>,경상북도 의성군 금성면 산운리 636번지   ,054-834-0105,2019-01-31
미용업,신라,경상북도 의성군 안계면 안계길 170-2,경상북도 의성군 안계면 용기리 850번지 41호   ,054-861-2451,2019-01-31
미용업,목화,경상북도 의성군 안계면 안계길 152-2,경상북도 의성군 안계면 용기리 842번지 37호   ,054-861-2709,2019-01-31
미용업,안일,경상북도 의성군 안계면 안계시장길 53-6,경상북도 의성군 안계면 용기리 848번지 26호   ,054-862-1701,2019-01-31
미용업,선,경상북도 의성군 안계면 안계길 162,경상북도 의성군 안계면 용기리 850번지 54호   ,054-862-1397,2019-01-31
미용업,은혜미용실,경상북도 의성군 다인면 상주다인로 1175-5,경상북도 의성군 다인면 서릉리 189번지 3호   ,054-861-4663,2019-01-31
미용업,아름,경상북도 의성군 봉양면 도리원1길 41,경상북도 의성군 봉양면 화전리 124번지 8호   ,054-832-1888,2019-01-31
미용업,마야,<REPLACE>,경상북도 의성군 의성읍 중리리 804번지   ,054-833-0126,2019-01-31
미용업,이례,경상북도 의성군 금성면 탑리2길 34,경상북도 의성군 금성면 산운리 636번지 26호   ,054-834-0483,2019-01-31
미용업,빛나,경상북도 의성군 금성면 탑리1길 1,경상북도 의성군 금성면 대리리 17번지 4호   ,054-834-0483,2019-01-31
미용업,신숙이헤어샵,경상북도 의성군 의성읍 중앙길 68-1,경상북도 의성군 의성읍 후죽리 615번지 2호   ,054-832-9848,2019-01-31
미용업,봅스 헤어,경상북도 의성군 의성읍 군청길 60,경상북도 의성군 의성읍 중리리 714번지 2호   ,054-833-0133,2019-01-31
미용업,주희미용실,경상북도 의성군 다인면 다인장길 24-13,경상북도 의성군 다인면 서릉리 162번지 4호   ,054-861-4388,2019-01-31
미용업,챠밍헤어샵,경상북도 의성군 단촌면 고운길 13,경상북도 의성군 단촌면 하화리 1178번지 4호   ,054-832-1708,2019-01-31
미용업,그린헤어샵,경상북도 의성군 점곡면 점곡길 76,경상북도 의성군 점곡면 서변리 114번지 2호   ,054-832-7504,2019-01-31
미용업,새로와,"경상북도 의성군 봉양면 도리원3길 2, 2층",경상북도 의성군 봉양면 화전리 132번지 1호   ,054-832-1951,2019-01-31
미용업,신세대,경상북도 의성군 의성읍 군청길 45,경상북도 의성군 의성읍 중리리 700번지 1호   ,054-834-2920,2019-01-31
미용업,희,<REPLACE>,경상북도 의성군 의성읍 후죽리 858번지 41호   ,054-832-9927,2019-01-31
미용업,근애미용실,경상북도 의성군 옥산면 입암1길 42-9,경상북도 의성군 옥산면 입암리 1105번지 90호   ,054-833-1033,2019-01-31
미용업,사곡,경상북도 의성군 사곡면 양지2길 4,경상북도 의성군 사곡면 양지리 502번지 3호   ,054-833-5065,2019-01-31
미용업,진선미,경상북도 의성군 금성면 탑리길 23,경상북도 의성군 금성면 대리리 17번지 20호   ,054-833-1386,2019-01-31
미용업,세한미용실,경상북도 의성군 다인면 서릉길 46,경상북도 의성군 다인면 서릉리 151번지 7호   ,054-861-7671,2019-01-31
미용업,향이,<REPLACE>,경상북도 의성군 안평면 박곡리 952번지 2호   ,054-832-4541,2019-01-31
미용업,빛나는미용실,경상북도 의성군 의성읍 중앙길 53-1,경상북도 의성군 의성읍 후죽리 897번지 3호   ,054-833-1531,2019-01-31
미용업,스타,경상북도 의성군 구천면 소보안계로 1598,경상북도 의성군 구천면 유산리 126번지 6호   ,054-861-2721,2019-01-31
미용업,만남머리방,경상북도 의성군 안계면 안계시장길 82,경상북도 의성군 안계면 용기리 850번지 16호   ,054-862-3204,2019-01-31
미용업,까망헤어샵,경상북도 의성군 안계면 안계시장길 74,경상북도 의성군 안계면 용기리 850번지 22호   ,054-862-5479,2019-01-31
미용업,강석,<REPLACE>,경상북도 의성군 다인면 서릉리 146번지 4호   ,054-861-8118,2019-01-31
미용업,제일,경상북도 의성군 점곡면 점곡길 70,경상북도 의성군 점곡면 서변리 112번지 2호   ,054-833-7739,2019-01-31
미용업,웰라,경상북도 의성군 의성읍 회나무길 17,경상북도 의성군 의성읍 도서리 222번지 1호   ,054-833-8916,2019-01-31
미용업,해미헤어,경상북도 의성군 의성읍 동서2길 29,경상북도 의성군 의성읍 후죽리 586번지 4호   ,054-833-0140,2019-01-31
미용업,동원미용실,경상북도 의성군 안계면 안계길 169,경상북도 의성군 안계면 용기리 851번지 20호   ,054-861-0600,2019-01-31
미용업,김진숙헤어샵,경상북도 의성군 단촌면 고운길 10,경상북도 의성군 단촌면 하화리 1255번지 15호   ,,2019-01-31
미용업,이윤정헤어뱅크,경상북도 의성군 의성읍 문소3길 62-1,경상북도 의성군 의성읍 후죽리 754번지 3호   ,054-832-7107,2019-01-31
미용업,머리방,<REPLACE>,경상북도 의성군 의성읍 후죽리 569번지 4호   ,054-832-6346,2019-01-31
미용업,한빛미용실,경상북도 의성군 봉양면 도리원1길 58,경상북도 의성군 봉양면 화전리 105번지 4호   ,054-834-8808,2019-01-31
미용업,모델헤어,경상북도 의성군 의성읍 중앙길 56-1,경상북도 의성군 의성읍 도동리 894번지 1호   ,054-832-7542,2019-01-31
미용업,궁 헤어라인,경상북도 의성군 의성읍 문소2길 57,경상북도 의성군 의성읍 후죽리 592번지 17호   ,054-834-7877,2019-01-31
미용업,명가,경상북도 의성군 의성읍 중앙길 73-1,경상북도 의성군 의성읍 후죽리 742번지 6호   ,054-834-8226,2019-01-31
미용업,예인헤어,경상북도 의성군 다인면 서릉길 38,경상북도 의성군 다인면 서릉리 202번지 12호   ,054-861-0307,2019-01-31
미용업,가위손,경상북도 의성군 의성읍 중앙길 79,경상북도 의성군 의성읍 후죽리 748번지   ,054-833-3696,2019-01-31
미용업,정,경상북도 의성군 안계면 안계시장길 63,경상북도 의성군 안계면 용기리 848번지 22호   ,054-861-0038,2019-01-31
미용업,영미용실,경상북도 의성군 안계면 안계길 54,경상북도 의성군 안계면 토매리 117번지 7호   ,054-861-1386,2019-01-31
미용업,펌헤어,경상북도 의성군 의성읍 중앙길 46-1,경상북도 의성군 의성읍 도동리 906번지 3호   ,054-834-5874,2019-01-31
미용업,정화헤어,경상북도 의성군 의성읍 도동도서길 13,경상북도 의성군 의성읍 도동리 944번지 1호   ,054-832-2936,2019-01-31
미용업,은혜미용실,경상북도 의성군 금성면 탑리길 28-1,경상북도 의성군 금성면 대리리 19번지 19호   ,054-832-4534,2019-01-31
미용업,헤어센스,경상북도 의성군 의성읍 중앙길 54,경상북도 의성군 의성읍 도동리 894번지 5호   ,,2019-01-31
미용업,현주미용실,경상북도 의성군 의성읍 전통시장2길 6,경상북도 의성군 의성읍 도동리 983번지 2호   ,,2019-01-31
미용업,여우머리,경상북도 의성군 안계면 안계길 174-1,경상북도 의성군 안계면 용기리 852번지 4호   ,054-861-2133,2019-01-31
미용업,김태현미용실,경상북도 의성군 의성읍 군청길 17,경상북도 의성군 의성읍 후죽리 486번지 21호   ,054-832-1030,2019-01-31
미용업,지니헤어,경상북도 의성군 의성읍 군청길 32-1,경상북도 의성군 의성읍 후죽리 553번지 5호   ,054-832-3210,2019-01-31
미용업,선미용실,경상북도 의성군 금성면 탑리길 54-1,경상북도 의성군 금성면 대리리 63번지 1호   ,054-834-0136,2019-01-31
미용업,"오늘, 네일",경상북도 의성군 안계면 안계길 158,경상북도 의성군 안계면 용기리 849번지 30호   ,054-861-2844,2019-01-31
미용업,코리아헤어,경상북도 의성군 의성읍 문소3길 95-1,경상북도 의성군 의성읍 후죽리 841번지 9호   ,054-834-4484,2019-01-31
미용업,유헤어,경상북도 의성군 안계면 용기12길 33,경상북도 의성군 안계면 용기리 501번지 2호   ,054-862-0522,2019-01-31
미용업,뷰티헤어,경상북도 의성군 안계면 안계길 140,경상북도 의성군 안계면 용기리 840번지 5호   ,054-861-0290,2019-01-31
미용업,안나미장원,경상북도 의성군 의성읍 도동도서길 18,경상북도 의성군 의성읍 도동리 949번지 6호   ,,2019-01-31
미용업,묘향헤어,경상북도 의성군 의성읍 중앙길 23,경상북도 의성군 의성읍 도서리 95번지 8호   ,,2019-01-31
미용업(일반),헤어리,경상북도 의성군 안계면 안계시장길 60,경상북도 의성군 안계면 용기리 848번지 15호   ,054-861-1592,2019-01-31
미용업(일반),허미용실,경상북도 의성군 안계면 안계시장길 64,경상북도 의성군 안계면 용기리 847번지 5호   ,,2019-01-31
미용업(일반),오늘네일,경상북도 의성군 의성읍 문소2길 25-2,경상북도 의성군 의성읍 중리리 887번지 1호   ,054-833-7333,2019-01-31
미용업(일반),칼라미용실,경상북도 의성군 안계면 안계시장길 45,경상북도 의성군 안계면 용기리 842번지 20호   ,,2019-01-31
미용업(일반),쉬크헤어,경상북도 의성군 의성읍 군청길 10,경상북도 의성군 의성읍 후죽리 1202번지   ,,2019-01-31
미용업(일반),벨르헤어,경상북도 의성군 의성읍 동서1길 53,경상북도 의성군 의성읍 중리리 805번지 1호   ,,2019-01-31
미용업(일반),우두머리 헤어샵,경상북도 의성군 의성읍 중앙길 78-1,경상북도 의성군 의성읍 후죽리 575번지 3호   ,054-834-5281,2019-01-31
미용업(일반),가위손,경상북도 의성군 안계면 안계길 178,경상북도 의성군 안계면 용기리 879번지 10호   ,,2019-01-31
미용업(일반),우리미용실,경상북도 의성군 옥산면 입암1길 39,경상북도 의성군 옥산면 입암리 1105번지 34호   ,054-833-7778,2019-01-31
미용업(피부),수연뷰티라인,경상북도 의성군 안계면 안계길 165,경상북도 의성군 안계면 용기리 851번지 7호   ,054-862-3632,2019-01-31
미용업(피부),김은영피부관리샵,경상북도 의성군 의성읍 문소3길 68,경상북도 의성군 의성읍 후죽리 526번지 1호   ,054-833-5595,2019-01-31
미용업(피부),박현숙 뷰티샵,경상북도 의성군 의성읍 중앙길 42,경상북도 의성군 의성읍 도동리 910번지 7호   ,,2019-01-31
미용업(피부),마사지 앤 바디워크,경상북도 의성군 의성읍 북부길 7-1,경상북도 의성군 의성읍 후죽리 858번지 64호   ,,2019-01-31
미용업(종합),브이라인,경상북도 의성군 의성읍 문소3길 42,경상북도 의성군 의성읍 후죽리 676번지 3호   ,,2019-01-31
"미용업(일반), 미용업(손톱ㆍ발톱), 미용업(화장ㆍ분장)",아르떼헤어,경상북도 의성군 의성읍 동서1길 83,경상북도 의성군 의성읍 상리리 707번지 1호   ,,2019-01-31
"미용업(일반), 미용업(손톱ㆍ발톱), 미용업(화장ㆍ분장)",버르장머리,경상북도 의성군 의성읍 중앙길 30,경상북도 의성군 의성읍 도동리 938번지 1호   ,054-833-5523,2019-01-31
